layer,microservice,microservice_type,parameter,type,lower_limit,upper_limit,categorical_values,default,step,units,prefix,comments
application,media-memcached,memcached,m,discrete,64,20000,,64,1000,,,
application,media-memcached,memcached,c,discrete,512,2048,,1024,512,,,
application,media-memcached,memcached,R,discrete,1,100,,20,20,,,
application,media-memcached,memcached,t,discrete,1,24,,4,2,,,
application,media-memcached,memcached,f,continuous,1.01,3,,1.25,1,,,
application,post-storage-memcached,memcached,m,discrete,64,20000,,64,1000,,,maximum memory in megabytes only. 10% to 50% of the total RAm
application,post-storage-memcached,memcached,c,discrete,512,2048,,1024,512,,,max simultaneous connections. Should match the client pool size or slightly bigger
application,post-storage-memcached,memcached,R,discrete,1,100,,20,20,,,client starvation
application,post-storage-memcached,memcached,t,discrete,1,24,,4,2,,,threads
application,post-storage-memcached,memcached,f,continuous,1.01,3,,1.25,1,,,chunk growth factor
application,url-shorten-memcached,memcached,m,discrete,64,20000,,64,1000,,,
application,url-shorten-memcached,memcached,c,discrete,512,2048,,1024,512,,,
application,url-shorten-memcached,memcached,R,discrete,1,100,,20,20,,,
application,url-shorten-memcached,memcached,t,discrete,1,24,,4,2,,,
application,url-shorten-memcached,memcached,f,continuous,1.01,3,,1.25,1,,,
application,user-memcached,memcached,m,discrete,64,20000,,64,1000,,,
application,user-memcached,memcached,c,discrete,512,2048,,1024,512,,,
application,user-memcached,memcached,R,discrete,1,100,,20,20,,,
application,user-memcached,memcached,t,discrete,1,24,,4,2,,,
application,user-memcached,memcached,f,continuous,1.01,3,,1.25,1,,,
application,media-mongodb,mongo,wiredTigerCacheSizeGB,continuous,0.25,19.5,,"max(0.5 * (RAM - 1GB), 256MB)",1,,,
application,media-mongodb,mongo,wiredTigerConcurrentReadTransactions,discrete,32,256,,128,32,,,
application,media-mongodb,mongo,wiredTigerConcurrentWriteTransactions,discrete,32,256,,128,32,,,
application,post-storage-mongodb,mongo,wiredTigerCacheSizeGB,continuous,0.25,19.5,,"max(0.5 * (RAM - 1GB), 256MB)",1,,,in GBs float
application,post-storage-mongodb,mongo,wiredTigerConcurrentReadTransactions,discrete,32,256,,128,32,,,
application,post-storage-mongodb,mongo,wiredTigerConcurrentWriteTransactions,discrete,32,256,,128,32,,,
application,social-graph-mongodb,mongo,wiredTigerCacheSizeGB,continuous,0.25,19.5,,"max(0.5 * (RAM - 1GB), 256MB)",1,,,
application,social-graph-mongodb,mongo,wiredTigerConcurrentReadTransactions,discrete,32,256,,128,32,,,
application,social-graph-mongodb,mongo,wiredTigerConcurrentWriteTransactions,discrete,32,256,,128,32,,,
application,url-shorten-mongodb,mongo,wiredTigerCacheSizeGB,continuous,0.25,19.5,,"max(0.5 * (RAM - 1GB), 256MB)",1,,,
application,url-shorten-mongodb,mongo,wiredTigerConcurrentReadTransactions,discrete,32,256,,128,32,,,
application,url-shorten-mongodb,mongo,wiredTigerConcurrentWriteTransactions,discrete,32,256,,128,32,,,
application,user-mongodb,mongo,wiredTigerCacheSizeGB,continuous,0.25,19.5,,"max(0.5 * (RAM - 1GB), 256MB)",1,,,
application,user-mongodb,mongo,wiredTigerConcurrentReadTransactions,discrete,32,256,,128,32,,,
application,user-mongodb,mongo,wiredTigerConcurrentWriteTransactions,discrete,32,256,,128,32,,,
