timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T03:27:13Z,19s,238.633329,5.603328
2022-09-11T03:27:28Z,15s,664.393701,6.459392
2022-09-11T03:27:45Z,17s,625.875593,6.639616
2022-09-11T03:28:00Z,15s,624.287583,6.414336
2022-09-11T03:28:12Z,12s,656.093966,6.909952
2022-09-11T03:28:31Z,19s,641.171807,6.651904
2022-09-11T03:28:45Z,14s,641.922988,6.787072
2022-09-11T03:29:02Z,17s,666.561426,6.639616
2022-09-11T03:29:20Z,18s,628.605888,6.688768
2022-09-11T03:29:20Z,18s,628.605888,6.688768
2022-09-11T03:29:37Z,17s,639.219812,6.995968
2022-09-11T03:29:55Z,18s,631.024106,6.795264
2022-09-11T03:30:10Z,15s,645.638739,6.79936
2022-09-11T03:30:26Z,16s,649.61271,6.893568
2022-09-11T03:30:44Z,18s,652.754421,6.848512
2022-09-11T03:30:55Z,11s,624.595305,6.92224
2022-09-11T03:31:08Z,13s,626.765093,6.918144
2022-09-11T03:31:33Z,25s,651.52923,6.815744
2022-09-11T03:31:33Z,25s,651.52923,6.815744
2022-09-11T03:32:03Z,30s,637.918857,6.987776
2022-09-11T03:32:03Z,30s,637.918857,6.987776
2022-09-11T03:32:21Z,18s,638.125641,6.967296
2022-09-11T03:32:39Z,18s,645.415073,7.036928
2022-09-11T03:32:53Z,14s,628.584037,6.930432
2022-09-11T03:33:10Z,17s,637.986598,6.832128
2022-09-11T03:33:35Z,25s,657.406005,7.049216
2022-09-11T03:33:35Z,25s,657.406005,7.049216
2022-09-11T03:34:05Z,30s,637.580018,6.852608
2022-09-11T03:34:05Z,30s,637.580018,6.852608
2022-09-11T03:34:21Z,16s,645.740457,6.893568
2022-09-11T03:34:38Z,17s,638.150998,6.909952
