timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T05:21:49Z,13s,65.93591,5.328896
2022-09-11T05:22:04Z,15s,641.314089,6.156288
2022-09-11T05:22:15Z,11s,799.393343,6.320128
2022-09-11T05:22:30Z,15s,839.035897,6.672384
2022-09-11T05:22:48Z,18s,771.445585,6.713344
2022-09-11T05:23:00Z,12s,825.847193,6.656
2022-09-11T05:23:19Z,19s,815.473608,6.660096
2022-09-11T05:23:39Z,20s,781.57135,6.639616
2022-09-11T05:23:52Z,13s,835.800303,6.807552
2022-09-11T05:24:09Z,17s,804.954698,6.815744
2022-09-11T05:24:24Z,15s,791.779259,6.844416
2022-09-11T05:24:40Z,16s,776.690885,6.889472
2022-09-11T05:24:54Z,14s,805.028188,6.938624
2022-09-11T05:25:04Z,10s,805.249527,7.20896
2022-09-11T05:25:20Z,16s,786.870488,7.102464
2022-09-11T05:25:39Z,19s,802.389039,6.991872
2022-09-11T05:25:52Z,13s,832.971385,7.090176
2022-09-11T05:26:10Z,18s,776.595356,7.22944
2022-09-11T05:26:10Z,18s,776.595356,7.22944
2022-09-11T05:26:27Z,17s,832.597722,6.914048
2022-09-11T05:26:47Z,20s,795.740879,6.897664
2022-09-11T05:27:08Z,21s,811.74286,7.057408
2022-09-11T05:27:22Z,14s,801.614355,7.036928
2022-09-11T05:27:37Z,15s,768.507752,6.946816
2022-09-11T05:27:37Z,15s,768.507752,6.946816
2022-09-11T05:27:57Z,20s,795.680512,6.905856
