timestamp,window,cpu (millicores),memory (megabytes)
2022-09-12T02:03:45Z,14s,437.164623,6.320128
2022-09-12T02:03:45Z,14s,437.164623,6.320128
2022-09-12T02:04:03Z,18s,541.858992,6.53312
2022-09-12T02:04:23Z,20s,497.265082,6.651904
2022-09-12T02:04:35Z,12s,525.065435,6.656
2022-09-12T02:04:51Z,16s,517.415847,6.61504
2022-09-12T02:05:10Z,19s,511.135378,6.627328
2022-09-12T02:05:30Z,20s,510.573417,6.762496
2022-09-12T02:05:43Z,13s,522.782766,6.77888
2022-09-12T02:06:16Z,19s,525.829807,6.746112
2022-09-12T02:06:16Z,19s,525.829807,6.746112
2022-09-12T02:06:35Z,19s,510.923503,6.627328
2022-09-12T02:06:50Z,15s,501.613705,6.766592
2022-09-12T02:07:03Z,13s,530.609117,6.774784
2022-09-12T02:07:21Z,18s,497.940938,6.782976
2022-09-12T02:07:45Z,24s,526.9819,6.762496
2022-09-12T02:07:45Z,24s,526.9819,6.762496
2022-09-12T02:08:04Z,19s,505.068654,6.647808
2022-09-12T02:08:21Z,17s,516.200265,6.639616
2022-09-12T02:08:35Z,14s,539.452153,6.73792
2022-09-12T02:08:54Z,19s,516.946607,6.610944
2022-09-12T02:09:09Z,15s,487.903447,6.7584
2022-09-12T02:09:21Z,12s,524.508769,6.651904
2022-09-12T02:09:38Z,17s,527.71234,6.627328
2022-09-12T02:09:56Z,18s,516.007699,6.627328
2022-09-12T02:10:09Z,13s,486.437208,6.897664
