timestamp,window,cpu (millicores),memory (megabytes)
2022-09-12T01:59:00Z,28s,111.79641,5.439488
2022-09-12T01:59:00Z,28s,111.79641,5.439488
2022-09-12T01:59:19Z,19s,159.467503,6.107136
2022-09-12T01:59:37Z,18s,164.147997,6.12352
2022-09-12T01:59:52Z,15s,160.763177,6.20544
2022-09-12T02:00:05Z,13s,152.017714,6.213632
2022-09-12T02:00:24Z,19s,160.059149,6.08256
2022-09-12T02:00:36Z,12s,166.567799,6.098944
2022-09-12T02:00:55Z,19s,160.008453,6.352896
2022-09-12T02:01:08Z,13s,160.964252,6.098944
2022-09-12T02:01:26Z,18s,160.062197,6.098944
2022-09-12T02:01:41Z,15s,153.639499,6.221824
2022-09-12T02:01:54Z,13s,169.636136,6.230016
2022-09-12T02:02:12Z,18s,153.850214,6.10304
