timestamp,window,cpu (millicores),memory (megabytes)
2022-09-12T02:32:47Z,18s,115.099327,5.681152
2022-09-12T02:33:02Z,15s,156.411531,6.029312
2022-09-12T02:33:21Z,19s,152.450721,6.098944
2022-09-12T02:33:41Z,20s,152.430163,6.12352
2022-09-12T02:33:52Z,11s,162.309915,6.2464
2022-09-12T02:34:07Z,15s,151.895994,6.148096
2022-09-12T02:34:26Z,19s,154.759368,6.197248
2022-09-12T02:34:41Z,15s,148.889624,6.201344
2022-09-12T02:34:41Z,15s,148.889624,6.201344
2022-09-12T02:35:01Z,20s,153.851167,6.213632
2022-09-12T02:35:16Z,15s,158.158688,6.213632
2022-09-12T02:35:33Z,17s,150.338006,6.344704
2022-09-12T02:35:43Z,10s,161.852506,6.344704
2022-09-12T02:36:01Z,18s,152.288809,6.361088
2022-09-12T02:36:19Z,18s,158.16319,6.377472
2022-09-12T02:36:30Z,11s,145.895477,6.377472
2022-09-12T02:36:49Z,19s,159.546691,6.377472
2022-09-12T02:37:03Z,14s,152.88215,6.377472
2022-09-12T02:37:17Z,14s,145.335154,6.250496
