timestamp,window,cpu (millicores),memory (megabytes)
2022-09-12T03:04:35Z,14s,83.562183,5.496832
2022-09-12T03:04:51Z,16s,150.199524,5.726208
2022-09-12T03:04:51Z,16s,150.199524,5.726208
2022-09-12T03:05:08Z,17s,156.862352,5.828608
2022-09-12T03:05:27Z,19s,150.547398,5.988352
2022-09-12T03:05:43Z,16s,152.025807,5.873664
2022-09-12T03:06:00Z,17s,160.656941,6.127616
2022-09-12T03:06:15Z,15s,149.87713,5.873664
2022-09-12T03:06:32Z,17s,152.002252,6.115328
2022-09-12T03:06:47Z,15s,159.021797,6.012928
2022-09-12T03:07:04Z,17s,155.91338,5.885952
2022-09-12T03:07:15Z,11s,153.952033,5.885952
2022-09-12T03:07:28Z,13s,153.882396,5.910528
2022-09-12T03:07:45Z,17s,150.551775,6.045696
2022-09-12T03:08:16Z,13s,155.017392,6.049792
