timestamp,window,cpu (millicores),memory (megabytes)
2022-09-12T03:22:30Z,14s,99.887748,5.677056
2022-09-12T03:22:42Z,12s,157.790942,5.7344
2022-09-12T03:22:52Z,10s,162.152501,5.967872
2022-09-12T03:23:06Z,14s,145.151869,5.906432
2022-09-12T03:23:28Z,22s,155.775285,5.955584
2022-09-12T03:23:45Z,17s,153.992903,6.074368
2022-09-12T03:24:00Z,15s,154.05031,5.955584
2022-09-12T03:24:00Z,15s,154.05031,5.955584
2022-09-12T03:24:18Z,18s,152.258493,5.955584
2022-09-12T03:24:43Z,25s,153.294568,5.976064
2022-09-12T03:25:01Z,18s,155.013462,5.976064
2022-09-12T03:25:01Z,18s,155.013462,5.976064
