timestamp,window,cpu (millicores),memory (megabytes)
2022-09-12T03:39:31Z,14s,121.75225,5.414912
2022-09-12T03:39:49Z,18s,152.265569,5.783552
2022-09-12T03:40:05Z,16s,149.377005,5.808128
2022-09-12T03:40:28Z,23s,158.659825,5.689344
2022-09-12T03:40:39Z,11s,147.019917,5.701632
2022-09-12T03:40:52Z,13s,151.515742,5.828608
2022-09-12T03:41:04Z,12s,161.577745,5.705728
2022-09-12T03:41:24Z,20s,153.336702,5.722112
2022-09-12T03:41:42Z,18s,154.846388,5.722112
2022-09-12T03:41:42Z,18s,154.846388,5.722112
2022-09-12T03:42:01Z,19s,147.937352,5.849088
2022-09-12T03:42:16Z,15s,156.487448,5.722112
2022-09-12T03:42:35Z,19s,152.967076,5.849088
2022-09-12T03:42:49Z,14s,160.692153,5.840896
2022-09-12T03:43:05Z,16s,152.816476,5.976064
