timestamp,window,cpu (millicores),memory (megabytes)
2022-09-12T03:42:36Z,18s,420.662833,5.840896
2022-09-12T03:42:54Z,18s,268.186537,5.844992
2022-09-12T03:43:13Z,19s,213.878002,5.844992
2022-09-12T03:43:13Z,19s,213.878002,5.844992
2022-09-12T03:43:43Z,30s,414.009753,7.110656
2022-09-12T03:43:54Z,11s,438.023639,7.376896
2022-09-12T03:44:10Z,16s,472.387531,7.258112
2022-09-12T03:44:30Z,20s,433.082251,7.344128
2022-09-12T03:44:43Z,13s,475.67094,7.258112
2022-09-12T03:44:57Z,14s,430.548454,7.266304
2022-09-12T03:45:12Z,15s,443.926159,7.241728
2022-09-12T03:45:30Z,18s,449.636579,7.376896
2022-09-12T03:45:40Z,10s,458.869974,7.3728
2022-09-12T03:45:54Z,14s,459.934657,7.233536
2022-09-12T03:46:11Z,17s,454.296703,7.241728
2022-09-12T03:46:22Z,11s,433.703504,7.3728
2022-09-12T03:46:39Z,17s,441.401403,7.24992
2022-09-12T03:46:54Z,15s,471.045065,7.368704
2022-09-12T03:47:06Z,12s,438.088393,7.389184
2022-09-12T03:47:23Z,17s,439.929555,7.3728
2022-09-12T03:47:39Z,16s,452.309043,7.376896
2022-09-12T03:47:51Z,12s,472.785544,7.237632
2022-09-12T03:48:06Z,15s,441.015686,7.471104
2022-09-12T03:48:27Z,21s,449.443365,7.237632
2022-09-12T03:48:44Z,17s,439.31824,7.380992
2022-09-12T03:48:55Z,11s,469.988143,7.258112
2022-09-12T03:49:14Z,19s,439.409902,7.266304
2022-09-12T03:49:14Z,19s,439.409902,7.266304
2022-09-12T03:49:44Z,30s,450.739914,7.3728
2022-09-12T03:49:54Z,10s,452.218084,7.376896
