timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T06:25:39Z,14s,530.408742,5.61152
2022-09-11T06:25:51Z,12s,1229.900407,5.783552
2022-09-11T06:26:11Z,20s,1114.957368,5.873664
2022-09-11T06:26:25Z,14s,1531.860821,6.176768
2022-09-11T06:26:41Z,16s,1409.518452,6.316032
2022-09-11T06:26:54Z,13s,927.903123,6.209536
2022-09-11T06:27:18Z,24s,946.205991,6.221824
2022-09-11T06:27:35Z,17s,1070.533701,6.238208
2022-09-11T06:27:35Z,17s,1070.533701,6.238208
2022-09-11T06:27:51Z,16s,964.435485,6.242304
2022-09-11T06:28:09Z,18s,1045.880478,6.258688
2022-09-11T06:28:27Z,18s,1138.701544,6.250496
2022-09-11T06:28:46Z,19s,949.956583,6.258688
2022-09-11T06:29:04Z,18s,1023.866502,6.275072
2022-09-11T06:29:15Z,11s,943.240593,6.26688
2022-09-11T06:29:26Z,11s,1081.094125,6.299648
2022-09-11T06:29:37Z,11s,1169.078241,6.316032
2022-09-11T06:29:53Z,16s,1140.746049,6.467584
2022-09-11T06:30:13Z,20s,1098.783361,6.344704
2022-09-11T06:30:32Z,19s,982.241006,6.340608
2022-09-11T06:30:42Z,10s,938.481182,6.352896
2022-09-11T06:31:00Z,18s,1016.583439,6.3488
2022-09-11T06:31:18Z,18s,960.623652,6.356992
2022-09-11T06:31:18Z,18s,960.623652,6.356992
2022-09-11T06:31:38Z,20s,952.627681,6.36928
2022-09-11T06:31:56Z,18s,1029.8666,6.365184
2022-09-11T06:32:11Z,15s,1034.224926,6.3488
2022-09-11T06:32:26Z,15s,1167.366018,6.356992
2022-09-11T06:32:43Z,17s,1223.490391,6.365184
2022-09-11T06:33:02Z,19s,957.419581,6.49216
