timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T06:37:44Z,25s,114.227128,5.38624
2022-09-11T06:37:56Z,12s,668.456261,5.648384
2022-09-11T06:38:09Z,13s,511.409297,5.67296
2022-09-11T06:38:29Z,20s,397.820799,5.67296
2022-09-11T06:38:29Z,20s,397.820799,5.67296
2022-09-11T06:39:02Z,33s,768.485781,6.49216
2022-09-11T06:39:02Z,33s,768.485781,6.49216
2022-09-11T06:39:18Z,16s,823.200834,6.828032
2022-09-11T06:39:36Z,18s,789.424445,6.971392
2022-09-11T06:40:00Z,24s,787.124212,6.975488
2022-09-11T06:40:15Z,15s,803.523449,6.864896
2022-09-11T06:40:28Z,13s,785.272368,6.991872
2022-09-11T06:40:46Z,18s,781.303295,7.110656
2022-09-11T06:40:58Z,12s,842.58295,7.012352
2022-09-11T06:41:15Z,17s,777.845198,6.98368
2022-09-11T06:41:26Z,11s,806.088043,7.897088
2022-09-11T06:41:45Z,19s,787.942039,7.778304
2022-09-11T06:41:45Z,19s,787.942039,7.778304
