timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T07:09:24Z,13s,38.973031,5.251072
2022-09-11T07:09:24Z,13s,38.973031,5.251072
2022-09-11T07:09:41Z,17s,205.881545,5.545984
2022-09-11T07:10:01Z,20s,444.849239,5.660672
2022-09-11T07:10:20Z,19s,374.390234,5.709824
2022-09-11T07:10:31Z,11s,382.238085,5.783552
2022-09-11T07:10:49Z,18s,488.864003,6.385664
2022-09-11T07:11:09Z,20s,464.987398,6.782976
2022-09-11T07:11:09Z,20s,464.987398,6.782976
2022-09-11T07:11:40Z,31s,475.940911,6.520832
2022-09-11T07:11:55Z,15s,487.920303,6.582272
2022-09-11T07:12:14Z,19s,470.295641,6.47168
2022-09-11T07:12:34Z,20s,473.161728,6.496256
2022-09-11T07:12:49Z,15s,500.043998,6.508544
2022-09-11T07:13:07Z,18s,469.803101,6.483968
2022-09-11T07:13:20Z,13s,485.153585,6.606848
2022-09-11T07:13:39Z,19s,465.067712,6.619136
2022-09-11T07:13:52Z,13s,491.255819,6.47168
