timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T07:30:23Z,12s,57.979052,5.312512
2022-09-11T07:30:33Z,10s,195.109887,5.34528
2022-09-11T07:30:46Z,13s,312.878048,5.38624
2022-09-11T07:31:04Z,18s,299.583093,5.435392
2022-09-11T07:31:04Z,18s,299.583093,5.435392
2022-09-11T07:31:24Z,20s,488.248774,7.794688
2022-09-11T07:31:40Z,16s,571.158167,8.093696
2022-09-11T07:31:54Z,14s,551.185947,7.716864
2022-09-11T07:32:14Z,20s,554.053815,7.487488
2022-09-11T07:32:31Z,17s,545.00254,7.626752
2022-09-11T07:32:44Z,13s,553.252277,7.458816
2022-09-11T07:33:00Z,16s,575.202475,7.585792
2022-09-11T07:33:15Z,15s,535.853601,7.43424
2022-09-11T07:33:33Z,18s,585.484972,7.327744
2022-09-11T07:33:53Z,20s,539.073473,7.467008
2022-09-11T07:34:06Z,13s,552.632003,7.307264
2022-09-11T07:34:06Z,13s,552.632003,7.307264
2022-09-11T07:34:25Z,19s,578.096792,7.053312
2022-09-11T07:34:45Z,20s,538.865865,7.073792
2022-09-11T07:35:03Z,18s,581.934315,6.782976
2022-09-11T07:35:18Z,15s,550.357731,6.791168
2022-09-11T07:35:33Z,15s,550.151794,6.811648
2022-09-11T07:35:47Z,14s,549.955292,6.627328
2022-09-11T07:36:01Z,14s,566.025281,6.762496
2022-09-11T07:36:17Z,16s,550.692377,6.67648
2022-09-11T07:36:37Z,20s,557.224473,6.92224
2022-09-11T07:36:54Z,17s,551.135832,6.750208
2022-09-11T07:36:54Z,17s,551.135832,6.750208
2022-09-11T07:37:13Z,19s,564.503485,6.73792
2022-09-11T07:37:32Z,19s,554.507956,6.905856
2022-09-11T07:37:49Z,17s,555.093384,6.770688
2022-09-11T07:38:08Z,19s,578.53444,6.7584
2022-09-11T07:38:08Z,19s,578.53444,6.7584
