timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T07:27:24Z,13s,94.546088,5.750784
2022-09-11T07:27:39Z,15s,171.370762,6.418432
2022-09-11T07:27:39Z,15s,171.370762,6.418432
2022-09-11T07:28:09Z,30s,172.50448,6.41024
2022-09-11T07:28:23Z,14s,174.477788,0.006144
2022-09-11T07:28:23Z,14s,174.477788,0.006144
2022-09-11T07:28:39Z,16s,176.03284,6.447104
2022-09-11T07:28:57Z,18s,168.38752,6.447104
2022-09-11T07:29:11Z,14s,178.053069,6.447104
2022-09-11T07:29:30Z,19s,172.840235,6.569984
2022-09-11T07:29:47Z,17s,165.899768,6.443008
2022-09-11T07:30:00Z,13s,169.306459,6.320128
2022-09-11T07:30:14Z,14s,173.132181,6.320128
2022-09-11T07:30:28Z,14s,176.82871,6.447104
2022-09-11T07:30:40Z,12s,173.651762,6.4512
2022-09-11T07:30:59Z,19s,169.983571,6.324224
