timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T03:58:16Z,30s,714.294158,5.7344
2022-09-11T03:58:16Z,30s,714.294158,5.7344
2022-09-11T03:58:32Z,16s,1131.834759,5.844992
2022-09-11T03:59:01Z,29s,1763.756073,6.336512
2022-09-11T03:59:13Z,12s,2073.021721,6.51264
2022-09-11T03:59:26Z,13s,2082.40419,6.545408
2022-09-11T03:59:37Z,11s,2186.182742,6.590464
2022-09-11T03:59:54Z,17s,2134.609732,6.709248
2022-09-11T04:00:10Z,16s,2060.758343,6.647808
2022-09-11T04:00:23Z,13s,2162.275998,6.631424
2022-09-11T04:00:42Z,19s,2013.972061,6.823936
2022-09-11T04:01:01Z,19s,2035.625825,6.623232
2022-09-11T04:01:01Z,19s,2035.625825,6.623232
2022-09-11T04:01:30Z,29s,2147.825736,6.619136
2022-09-11T04:01:43Z,13s,2051.750022,6.623232
2022-09-11T04:01:56Z,13s,2009.949662,6.623232
2022-09-11T04:02:10Z,14s,2094.975078,6.774784
2022-09-11T04:02:44Z,20s,2054.955197,6.69696
2022-09-11T04:02:57Z,13s,2154.71289,6.73792
2022-09-11T04:03:09Z,12s,2134.584783,6.742016
2022-09-11T04:03:22Z,13s,1990.345538,6.67648
2022-09-11T04:03:36Z,14s,2075.640935,6.84032
2022-09-11T04:03:52Z,16s,2129.699798,6.848512
2022-09-11T04:04:06Z,14s,2241.21266,6.967296
2022-09-11T04:04:28Z,22s,2195.867584,6.627328
2022-09-11T04:04:28Z,22s,2195.867584,6.627328
2022-09-11T04:04:47Z,19s,2021.581946,6.770688
2022-09-11T04:05:15Z,28s,2200.989549,6.660096
2022-09-11T04:05:26Z,11s,1982.728304,6.815744
2022-09-11T04:05:41Z,15s,2165.869713,6.688768
2022-09-11T04:06:00Z,19s,2094.279797,6.725632
2022-09-11T04:06:00Z,19s,2094.279797,6.725632
2022-09-11T04:06:18Z,18s,1998.4683,6.774784
2022-09-11T04:06:37Z,19s,2047.651992,6.92224
2022-09-11T04:07:00Z,23s,2099.381475,6.807552
