timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T07:42:21Z,14s,78.843647,5.246976
2022-09-11T07:42:21Z,14s,78.843647,5.246976
2022-09-11T07:42:54Z,33s,164.291887,6.180864
2022-09-11T07:43:06Z,12s,177.221716,6.238208
2022-09-11T07:43:17Z,11s,155.308021,6.402048
2022-09-11T07:43:28Z,11s,172.131343,6.283264
2022-09-11T07:43:41Z,13s,160.036921,6.299648
2022-09-11T07:43:59Z,18s,167.339045,6.320128
2022-09-11T07:44:18Z,19s,171.216202,6.336512
2022-09-11T07:44:30Z,12s,161.867777,6.467584
2022-09-11T07:44:46Z,16s,161.890598,6.463488
2022-09-11T07:44:58Z,12s,171.111689,6.467584
2022-09-11T07:45:15Z,17s,167.013832,6.340608
2022-09-11T07:45:29Z,14s,162.518418,6.455296
2022-09-11T07:45:44Z,15s,171.697877,6.344704
