timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T07:41:22Z,13s,36.558327,5.210112
2022-09-11T07:41:38Z,16s,141.38034,5.595136
2022-09-11T07:41:49Z,11s,162.882395,5.820416
2022-09-11T07:42:06Z,17s,165.82529,6.06208
2022-09-11T07:42:06Z,17s,165.82529,6.06208
2022-09-11T07:42:36Z,30s,169.887924,6.119424
2022-09-11T07:42:53Z,17s,165.762967,6.004736
2022-09-11T07:43:09Z,16s,163.879432,6.008832
2022-09-11T07:43:21Z,12s,156.141503,6.02112
2022-09-11T07:43:37Z,16s,172.593551,6.017024
2022-09-11T07:43:48Z,11s,156.380808,6.139904
2022-09-11T07:44:03Z,15s,167.481402,6.144
2022-09-11T07:44:14Z,11s,171.84047,6.017024
2022-09-11T07:44:30Z,16s,170.194164,6.025216
2022-09-11T07:44:41Z,11s,158.313978,6.275072
