timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T08:02:22Z,17s,784.860684,5.57056
2022-09-11T08:02:41Z,19s,1000.325181,5.636096
2022-09-11T08:02:59Z,18s,1113.893292,5.709824
2022-09-11T08:03:15Z,16s,1015.151476,5.742592
2022-09-11T08:03:26Z,11s,1070.018482,5.763072
2022-09-11T08:03:45Z,19s,1100.420075,5.767168
2022-09-11T08:03:58Z,13s,941.552712,5.771264
2022-09-11T08:04:10Z,12s,1188.492064,5.832704
2022-09-11T08:04:22Z,12s,1035.566297,5.820416
2022-09-11T08:04:36Z,14s,1009.371884,5.824512
2022-09-11T08:04:51Z,15s,1072.246338,5.791744
2022-09-11T08:05:06Z,15s,967.419251,5.808128
2022-09-11T08:05:24Z,18s,964.879494,5.804032
2022-09-11T08:05:38Z,14s,1087.791552,5.840896
2022-09-11T08:05:52Z,14s,1045.798307,5.85728
2022-09-11T08:06:18Z,26s,1078.016464,5.869568
2022-09-11T08:06:29Z,11s,968.022648,5.885952
2022-09-11T08:06:48Z,19s,1009.419825,5.894144
2022-09-11T08:06:48Z,19s,1009.419825,5.894144
2022-09-11T08:07:04Z,16s,1083.651807,5.914624
2022-09-11T08:07:32Z,28s,958.138225,5.914624
2022-09-11T08:07:32Z,28s,958.138225,5.914624
2022-09-11T08:07:50Z,18s,1015.135805,5.89824
2022-09-11T08:08:06Z,16s,1042.635168,5.935104
2022-09-11T08:08:26Z,20s,1079.551527,5.9392
