timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T08:01:22Z,18s,452.335244,5.603328
2022-09-11T08:01:36Z,14s,1053.099204,5.742592
2022-09-11T08:01:54Z,18s,932.209435,5.779456
2022-09-11T08:02:12Z,18s,1532.667805,6.0416
2022-09-11T08:02:30Z,18s,1065.254393,6.029312
2022-09-11T08:02:46Z,16s,1131.010177,6.037504
2022-09-11T08:03:00Z,14s,883.608093,6.02112
2022-09-11T08:03:11Z,11s,988.061889,6.057984
2022-09-11T08:03:22Z,11s,1090.149948,6.066176
2022-09-11T08:03:42Z,20s,945.71937,6.066176
2022-09-11T08:03:56Z,14s,1121.836585,6.090752
2022-09-11T08:04:07Z,11s,1030.319581,6.090752
2022-09-11T08:04:24Z,17s,943.487223,6.238208
2022-09-11T08:04:41Z,17s,1094.645286,6.090752
2022-09-11T08:04:53Z,12s,970.430958,6.115328
2022-09-11T08:05:05Z,12s,1121.544464,6.107136
2022-09-11T08:05:20Z,15s,1118.355161,6.119424
2022-09-11T08:05:40Z,20s,944.978391,6.127616
2022-09-11T08:05:53Z,13s,977.315411,6.12352
2022-09-11T08:06:06Z,13s,1038.862634,6.12352
2022-09-11T08:06:21Z,15s,1075.137886,6.144
2022-09-11T08:06:48Z,27s,1019.79685,6.156288
2022-09-11T08:06:48Z,27s,1019.79685,6.156288
2022-09-11T08:07:04Z,16s,988.021577,6.168576
2022-09-11T08:07:22Z,18s,1106.951794,6.193152
2022-09-11T08:07:39Z,17s,1161.371946,6.16448
2022-09-11T08:07:52Z,13s,1053.446951,6.16448
2022-09-11T08:08:06Z,14s,984.229417,6.152192
2022-09-11T08:08:25Z,19s,978.823282,6.168576
2022-09-11T08:08:45Z,20s,1058.100558,0.006144
2022-09-11T08:08:56Z,11s,901.00544,6.172672
2022-09-11T08:09:11Z,15s,1763.171988,6.467584
2022-09-11T08:09:32Z,21s,2005.527664,6.5536
2022-09-11T08:09:48Z,16s,2173.493828,6.524928
2022-09-11T08:10:05Z,17s,1966.153882,6.565888
