timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T08:13:21Z,18s,66.766743,5.5296
2022-09-11T08:13:34Z,13s,389.394281,5.832704
2022-09-11T08:13:46Z,12s,335.452184,5.8368
2022-09-11T08:14:01Z,15s,225.963533,5.8368
2022-09-11T08:14:29Z,28s,288.83569,5.967872
2022-09-11T08:14:29Z,28s,288.83569,5.967872
2022-09-11T08:14:57Z,28s,398.806664,6.7584
2022-09-11T08:14:57Z,28s,398.806664,6.7584
2022-09-11T08:15:17Z,20s,393.492828,6.623232
2022-09-11T08:15:33Z,16s,398.003853,6.868992
2022-09-11T08:15:52Z,19s,390.183477,6.742016
2022-09-11T08:16:04Z,12s,389.476366,6.90176
2022-09-11T08:16:25Z,21s,409.267014,6.750208
2022-09-11T08:16:43Z,18s,389.221791,6.754304
2022-09-11T08:16:58Z,15s,393.617147,6.619136
2022-09-11T08:16:58Z,15s,393.617147,6.619136
2022-09-11T08:17:28Z,30s,403.560552,6.627328
2022-09-11T08:17:39Z,11s,367.121032,6.619136
