timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T08:43:42Z,16s,49.589103,5.431296
2022-09-11T08:43:59Z,17s,50.436056,5.57056
2022-09-11T08:44:25Z,26s,50.148235,5.705728
2022-09-11T08:44:36Z,11s,52.250731,5.71392
2022-09-11T08:44:55Z,19s,49.795759,5.726208
2022-09-11T08:45:11Z,16s,47.511395,5.726208
2022-09-11T08:45:24Z,13s,51.319973,5.726208
2022-09-11T08:45:37Z,13s,49.183874,5.726208
2022-09-11T08:45:54Z,17s,51.259618,5.726208
2022-09-11T08:46:05Z,11s,51.010278,5.742592
2022-09-11T08:46:23Z,18s,47.775401,5.742592
2022-09-11T08:46:39Z,16s,50.454428,5.750784
2022-09-11T08:46:49Z,10s,52.451975,5.79584
