timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T09:02:18Z,22s,124.907525,5.332992
2022-09-11T09:02:29Z,11s,308.146709,5.373952
2022-09-11T09:02:47Z,18s,252.846094,5.402624
2022-09-11T09:02:57Z,10s,183.942788,5.410816
2022-09-11T09:03:15Z,18s,191.780268,5.574656
2022-09-11T09:03:34Z,19s,631.073001,7.02464
2022-09-11T09:03:52Z,18s,624.5363,6.742016
2022-09-11T09:04:07Z,15s,623.582937,6.877184
2022-09-11T09:04:07Z,15s,623.582937,6.877184
2022-09-11T09:04:24Z,17s,638.389685,6.987776
2022-09-11T09:04:48Z,24s,632.063394,6.987776
2022-09-11T09:05:02Z,14s,602.197592,7.135232
2022-09-11T09:05:21Z,19s,648.624887,7.012352
2022-09-11T09:05:21Z,19s,648.624887,7.012352
2022-09-11T09:05:40Z,19s,621.536958,6.934528
2022-09-11T09:05:57Z,17s,609.381551,7.14752
2022-09-11T09:06:16Z,19s,619.460307,7.028736
2022-09-11T09:06:27Z,11s,635.769038,7.020544
