timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T08:59:41Z,16s,52.073704,5.402624
2022-09-11T09:00:01Z,20s,49.386807,5.521408
2022-09-11T09:00:16Z,15s,49.515279,5.558272
2022-09-11T09:00:30Z,14s,51.348853,5.619712
2022-09-11T09:00:45Z,15s,49.819742,5.632
2022-09-11T09:00:56Z,11s,52.684074,5.632
2022-09-11T09:01:16Z,20s,48.848806,5.632
2022-09-11T09:01:34Z,18s,48.69844,5.632
2022-09-11T09:01:45Z,11s,51.353058,5.632
2022-09-11T09:02:00Z,15s,49.524751,5.632
2022-09-11T09:02:16Z,16s,51.481696,5.632
2022-09-11T09:02:33Z,17s,48.757396,5.636096
2022-09-11T09:02:43Z,10s,53.500036,5.636096
2022-09-11T09:02:57Z,14s,47.3563,5.636096
