timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T09:15:35Z,13s,6.749963,5.074944
2022-09-11T09:15:50Z,15s,0.0,5.05856
2022-09-11T09:16:03Z,13s,0.0,5.05856
2022-09-11T09:16:22Z,19s,0.0,5.05856
2022-09-11T09:16:33Z,11s,19.472273,5.14048
2022-09-11T09:16:52Z,19s,46.578144,5.246976
2022-09-11T09:16:52Z,19s,46.578144,5.246976
2022-09-11T09:17:22Z,30s,43.049983,5.341184
2022-09-11T09:17:22Z,30s,43.049983,5.341184
2022-09-11T09:17:41Z,19s,51.880796,5.505024
2022-09-11T09:17:59Z,18s,47.810129,5.607424
