timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T09:22:12Z,16s,678.128469,5.586944
2022-09-11T09:22:25Z,13s,1071.044194,5.718016
2022-09-11T09:22:38Z,13s,957.096632,5.742592
2022-09-11T09:22:57Z,19s,1074.31062,5.746688
2022-09-11T09:23:15Z,18s,1040.583396,5.771264
2022-09-11T09:23:32Z,17s,986.174617,5.750784
2022-09-11T09:23:44Z,12s,910.698817,5.77536
2022-09-11T09:23:59Z,15s,1061.831869,5.767168
2022-09-11T09:24:12Z,13s,1038.306874,5.799936
2022-09-11T09:24:30Z,18s,1048.714153,5.791744
2022-09-11T09:24:45Z,15s,1179.064867,5.812224
2022-09-11T09:24:56Z,11s,1042.214183,5.840896
2022-09-11T09:25:14Z,18s,1037.18035,5.840896
2022-09-11T09:25:28Z,14s,1096.711822,5.853184
2022-09-11T09:25:46Z,18s,1018.104225,5.881856
2022-09-11T09:25:59Z,13s,1052.536459,5.873664
2022-09-11T09:26:22Z,23s,1044.605069,5.902336
2022-09-11T09:26:22Z,23s,1044.605069,5.902336
2022-09-11T09:26:40Z,18s,1108.619573,5.89824
2022-09-11T09:26:57Z,17s,1002.990135,5.910528
2022-09-11T09:27:22Z,25s,1038.658017,5.926912
2022-09-11T09:27:22Z,25s,1038.658017,5.926912
2022-09-11T09:27:39Z,17s,1016.375895,6.066176
2022-09-11T09:27:56Z,17s,1065.980506,5.947392
2022-09-11T09:28:28Z,14s,1081.864691,5.967872
2022-09-11T09:28:40Z,12s,1160.963783,6.017024
2022-09-11T09:29:00Z,20s,1544.349853,6.324224
2022-09-11T09:29:19Z,19s,1034.385668,6.316032
2022-09-11T09:29:19Z,19s,1034.385668,6.316032
