timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T09:50:00Z,14s,1.947676,5.18144
2022-09-11T09:50:11Z,11s,16.607516,5.496832
2022-09-11T09:50:24Z,13s,427.333406,6.107136
2022-09-11T09:50:35Z,11s,390.724174,6.06208
2022-09-11T09:50:50Z,15s,158.863815,6.06208
2022-09-11T09:51:06Z,16s,186.280755,6.06208
2022-09-11T09:51:24Z,18s,424.58579,6.836224
2022-09-11T09:51:40Z,16s,472.193987,6.680576
2022-09-11T09:51:51Z,11s,454.365345,7.0656
2022-09-11T09:52:07Z,16s,452.087309,6.750208
2022-09-11T09:52:19Z,12s,484.068283,7.00416
2022-09-11T09:52:38Z,19s,458.223533,6.8608
2022-09-11T09:52:55Z,17s,439.199863,6.766592
2022-09-11T09:53:11Z,16s,468.940185,6.729728
2022-09-11T09:53:27Z,16s,452.253956,6.877184
2022-09-11T09:53:27Z,16s,452.253956,6.877184
2022-09-11T09:54:00Z,33s,462.754453,7.131136
2022-09-11T09:54:15Z,15s,434.263591,6.725632
2022-09-11T09:54:15Z,15s,434.263591,6.725632
