timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T10:36:50Z,20s,1051.893582,3651.457024
2022-09-11T10:37:00Z,10s,1188.506322,3665.969152
2022-09-11T10:37:20Z,20s,1403.299168,3701.92384
2022-09-11T10:37:31Z,11s,1158.387326,3697.487872
2022-09-11T10:37:41Z,10s,1338.824978,3691.90912
2022-09-11T10:38:01Z,20s,1313.340397,3700.699136
2022-09-11T10:38:11Z,10s,1349.477821,3699.720192
2022-09-11T10:38:31Z,20s,1296.738728,3701.096448
2022-09-11T10:38:41Z,10s,1415.278807,3669.086208
2022-09-11T10:39:01Z,20s,1354.022821,3675.512832
2022-09-11T10:39:11Z,10s,1498.174079,3667.357696
2022-09-11T10:39:31Z,20s,1357.85056,3667.968
2022-09-11T10:39:42Z,11s,1297.72825,3680.161792
2022-09-11T10:40:02Z,20s,1461.016717,3670.593536
2022-09-11T10:40:12Z,10s,1513.03912,3667.943424
2022-09-11T10:40:32Z,20s,1450.252082,3658.883072
2022-09-11T10:40:42Z,10s,1420.979861,3670.708224
2022-09-11T10:41:02Z,20s,1387.169615,3658.89536
2022-09-11T10:41:12Z,10s,1432.650144,3659.288576
2022-09-11T10:41:32Z,20s,1409.473733,3670.069248
2022-09-11T10:41:43Z,11s,1328.767325,3658.87488
2022-09-11T10:42:03Z,20s,1387.698189,3659.902976
2022-09-11T10:42:13Z,10s,1450.894595,3667.16928
2022-09-11T10:42:33Z,20s,1441.768412,3656.904704
2022-09-11T10:42:43Z,10s,1486.569006,3663.282176
2022-09-11T10:43:03Z,20s,1444.639055,3657.5232
2022-09-11T10:43:13Z,10s,1503.298265,3657.91232
2022-09-11T10:43:33Z,20s,1501.236103,3662.282752
2022-09-11T10:43:44Z,11s,1603.117103,3659.354112
2022-09-11T10:44:04Z,20s,1692.811161,3659.65312
2022-09-11T10:44:14Z,10s,1659.380652,3670.515712
2022-09-11T10:44:34Z,20s,1696.356321,3671.392256
2022-09-11T10:44:44Z,10s,1729.303087,3650.29376
2022-09-11T10:45:04Z,20s,1748.173584,3647.696896
2022-09-11T10:45:14Z,10s,1741.456161,3643.670528
2022-09-11T10:45:35Z,21s,1629.699837,3632.283648
2022-09-11T10:45:45Z,10s,1716.198681,3646.001152
2022-09-11T10:46:05Z,20s,1686.763789,3632.570368
2022-09-11T10:46:15Z,10s,1670.657067,3643.121664
2022-09-11T10:46:35Z,20s,1642.150276,3634.393088
2022-09-11T10:46:45Z,10s,1692.851585,3631.59552
2022-09-11T10:47:05Z,20s,1711.532274,3632.259072
2022-09-11T10:47:15Z,10s,1710.525379,3632.27136
2022-09-11T10:47:36Z,21s,1629.082599,3632.39424
2022-09-11T10:47:46Z,10s,1687.938028,3632.29184
2022-09-11T10:47:56Z,10s,1734.191442,3632.45568
2022-09-11T10:48:16Z,20s,1690.113605,3632.132096
2022-09-11T10:48:26Z,10s,1715.47895,3653.46816
2022-09-11T10:48:46Z,20s,1708.585043,3647.676416
2022-09-11T10:48:56Z,10s,1744.635758,3639.058432
2022-09-11T10:49:17Z,21s,1647.713743,3631.640576
2022-09-11T10:49:27Z,10s,1749.8077,3642.544128
2022-09-11T10:49:47Z,20s,1733.926936,3631.833088
2022-09-11T10:49:57Z,10s,1767.448749,3635.34336
2022-09-11T10:50:17Z,20s,1747.752292,3632.893952
2022-09-11T10:50:27Z,10s,1759.17137,3633.012736
2022-09-11T10:50:47Z,20s,1697.616489,3641.245696
2022-09-11T10:50:57Z,10s,1683.251529,3654.623232
2022-09-11T10:51:18Z,21s,1600.782964,3654.832128
2022-09-11T10:51:28Z,10s,1679.55593,3644.575744
