timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T11:01:40Z,14s,205.997069,5.328896
2022-09-11T11:01:40Z,14s,205.997069,5.328896
2022-09-11T11:01:59Z,19s,465.92353,5.554176
2022-09-11T11:02:18Z,19s,595.819976,5.533696
2022-09-11T11:02:36Z,18s,1154.192824,6.569984
2022-09-11T11:02:48Z,12s,893.208724,6.529024
2022-09-11T11:03:07Z,19s,1029.177229,6.545408
2022-09-11T11:03:23Z,16s,1021.273075,6.5536
2022-09-11T11:03:33Z,10s,967.437131,6.524928
2022-09-11T11:03:49Z,16s,1130.626927,6.561792
2022-09-11T11:04:03Z,14s,1064.556212,6.561792
2022-09-11T11:04:15Z,12s,1169.712383,6.537216
2022-09-11T11:04:33Z,18s,1049.539989,6.565888
2022-09-11T11:04:46Z,13s,1100.421087,6.529024
2022-09-11T11:04:59Z,13s,921.893885,6.500352
2022-09-11T11:05:15Z,16s,985.166203,6.197248
2022-09-11T11:05:31Z,16s,937.904734,6.197248
2022-09-11T11:05:45Z,14s,1014.212039,6.193152
2022-09-11T11:06:04Z,19s,1107.546216,6.20544
2022-09-11T11:06:26Z,22s,974.874809,6.20544
2022-09-11T11:06:38Z,12s,1067.098512,6.209536
2022-09-11T11:06:49Z,11s,1092.345433,6.221824
2022-09-11T11:07:05Z,16s,1080.505367,6.230016
2022-09-11T11:07:18Z,13s,947.248602,6.270976
2022-09-11T11:07:30Z,12s,961.976114,6.270976
2022-09-11T11:07:45Z,15s,937.86658,6.250496
2022-09-11T11:08:03Z,18s,1029.929771,6.258688
2022-09-11T11:08:23Z,20s,863.622697,6.262784
2022-09-11T11:08:38Z,15s,947.995802,6.30784
2022-09-11T11:08:54Z,16s,993.028852,6.336512
