timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T10:58:40Z,13s,115.084401,5.28384
2022-09-11T10:58:56Z,16s,243.7663,5.812224
2022-09-11T10:58:56Z,16s,243.7663,5.812224
2022-09-11T10:59:23Z,27s,316.8857,6.475776
2022-09-11T10:59:23Z,27s,316.8857,6.475776
2022-09-11T10:59:43Z,20s,305.795278,6.59456
2022-09-11T11:00:03Z,20s,299.790325,6.61504
2022-09-11T11:00:16Z,13s,308.432736,6.467584
2022-09-11T11:00:31Z,15s,322.418906,6.455296
2022-09-11T11:00:56Z,25s,310.998145,6.606848
2022-09-11T11:01:09Z,13s,294.127999,6.610944
