timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T10:57:46Z,20s,57.912524,5.210112
2022-09-11T10:58:08Z,22s,260.018614,6.172672
2022-09-11T10:58:25Z,17s,309.216118,6.053888
2022-09-11T10:58:36Z,11s,328.723945,6.180864
2022-09-11T10:58:54Z,18s,294.270532,6.250496
2022-09-11T10:58:54Z,18s,294.270532,6.250496
2022-09-11T10:59:26Z,32s,312.963665,6.406144
2022-09-11T10:59:41Z,15s,306.548845,6.418432
2022-09-11T10:59:53Z,12s,303.035715,6.38976
2022-09-11T11:00:05Z,12s,315.017914,6.529024
2022-09-11T11:00:22Z,17s,307.116634,6.414336
2022-09-11T11:00:36Z,14s,309.039907,6.545408
2022-09-11T11:00:46Z,10s,309.21742,6.406144
2022-09-11T11:01:02Z,16s,313.542958,6.529024
2022-09-11T11:01:26Z,24s,303.81143,6.684672
2022-09-11T11:01:41Z,15s,315.627013,6.557696
2022-09-11T11:01:41Z,15s,315.627013,6.557696
2022-09-11T11:02:11Z,30s,310.080673,6.422528
