timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T11:30:38Z,20s,118.04584,5.206016
2022-09-11T11:30:54Z,16s,218.385551,5.804032
2022-09-11T11:31:12Z,18s,279.152193,6.197248
2022-09-11T11:31:26Z,14s,294.082934,6.385664
2022-09-11T11:31:46Z,20s,273.656168,6.602752
2022-09-11T11:32:01Z,15s,273.671454,6.660096
2022-09-11T11:32:13Z,12s,292.993818,6.79936
2022-09-11T11:32:29Z,16s,269.933946,6.721536
2022-09-11T11:32:40Z,11s,281.103981,6.524928
2022-09-11T11:32:59Z,19s,277.283871,6.684672
2022-09-11T11:33:18Z,19s,279.833778,6.807552
2022-09-11T11:33:18Z,19s,279.833778,6.807552
2022-09-11T11:33:35Z,17s,275.07738,6.565888
