timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T11:34:31Z,14s,135.784038,5.271552
2022-09-11T11:34:43Z,12s,378.48067,5.316608
2022-09-11T11:34:54Z,11s,517.307513,5.423104
2022-09-11T11:35:07Z,13s,510.758964,5.472256
2022-09-11T11:35:20Z,13s,720.520622,6.84032
2022-09-11T11:35:37Z,17s,1181.827038,7.225344
2022-09-11T11:35:56Z,19s,1029.186148,7.18848
2022-09-11T11:36:08Z,12s,989.891588,7.118848
2022-09-11T11:36:23Z,15s,1024.307698,6.909952
2022-09-11T11:36:35Z,12s,1022.24061,6.889472
2022-09-11T11:36:54Z,19s,949.238767,6.668288
2022-09-11T11:37:09Z,15s,1119.737862,6.705152
2022-09-11T11:37:24Z,15s,861.837729,6.73792
2022-09-11T11:37:36Z,12s,1123.242907,6.733824
2022-09-11T11:37:54Z,18s,1015.354761,6.561792
2022-09-11T11:38:07Z,13s,1008.690449,6.5536
2022-09-11T11:38:23Z,16s,1061.45553,6.557696
2022-09-11T11:38:40Z,17s,1058.922837,6.569984
2022-09-11T11:39:01Z,21s,1016.275149,6.545408
2022-09-11T11:39:01Z,21s,1016.275149,6.545408
2022-09-11T11:39:19Z,18s,1102.796589,6.3488
2022-09-11T11:39:46Z,27s,971.576264,6.356992
2022-09-11T11:40:00Z,14s,1043.183692,6.336512
2022-09-11T11:40:14Z,14s,1000.924896,6.32832
2022-09-11T11:40:27Z,13s,1143.555251,6.32832
2022-09-11T11:40:43Z,16s,1099.703887,6.356992
2022-09-11T11:41:01Z,18s,1103.841093,6.344704
2022-09-11T11:41:15Z,14s,1057.490955,6.340608
2022-09-11T11:41:27Z,12s,911.987944,6.352896
2022-09-11T11:41:38Z,11s,1101.477834,6.381568
2022-09-11T11:41:50Z,12s,1128.028989,6.373376
2022-09-11T11:42:08Z,18s,1068.668559,6.381568
2022-09-11T11:42:29Z,21s,1094.79104,7.61856
2022-09-11T11:42:43Z,14s,1067.80412,7.532544
