timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T11:31:47Z,28s,194.34491,6.258688
2022-09-11T11:31:47Z,28s,194.34491,6.258688
2022-09-11T11:32:04Z,17s,282.381957,6.610944
2022-09-11T11:32:30Z,26s,271.857159,6.508544
2022-09-11T11:32:43Z,13s,276.243023,6.602752
2022-09-11T11:32:57Z,14s,286.70209,6.631424
2022-09-11T11:33:16Z,19s,277.443059,6.639616
2022-09-11T11:33:30Z,14s,283.128812,6.647808
2022-09-11T11:33:48Z,18s,274.878182,6.639616
2022-09-11T11:33:58Z,10s,278.572883,6.51264
2022-09-11T11:34:13Z,15s,280.748689,6.627328
2022-09-11T11:34:32Z,19s,284.380478,6.774784
2022-09-11T11:34:45Z,13s,270.46324,6.639616
2022-09-11T11:35:03Z,18s,276.01043,6.488064
