timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T11:48:32Z,14s,470.453103,5.578752
2022-09-11T11:48:51Z,19s,1196.642004,5.840896
2022-09-11T11:49:07Z,16s,1099.229115,5.87776
2022-09-11T11:49:19Z,12s,1054.08639,5.85728
2022-09-11T11:49:31Z,12s,958.668967,5.85728
2022-09-11T11:49:48Z,17s,975.706344,5.91872
2022-09-11T11:50:05Z,17s,1140.270765,6.053888
2022-09-11T11:50:20Z,15s,1521.628997,6.26688
2022-09-11T11:50:38Z,18s,2124.697658,6.438912
2022-09-11T11:50:54Z,16s,2001.823471,6.483968
2022-09-11T11:51:05Z,11s,2081.501366,6.5536
2022-09-11T11:51:26Z,21s,2043.307792,6.578176
2022-09-11T11:51:43Z,17s,1957.157052,6.610944
2022-09-11T11:51:43Z,17s,1957.157052,6.610944
2022-09-11T11:52:12Z,29s,2087.630089,6.807552
2022-09-11T11:52:12Z,29s,2087.630089,6.807552
2022-09-11T11:52:44Z,32s,2045.82224,7.036928
2022-09-11T11:52:44Z,32s,2045.82224,7.036928
2022-09-11T11:53:02Z,18s,2026.838573,6.7584
2022-09-11T11:53:29Z,27s,2017.544049,6.57408
2022-09-11T11:53:29Z,27s,2017.544049,6.57408
2022-09-11T11:53:56Z,27s,2156.444492,6.692864
2022-09-11T11:53:56Z,27s,2156.444492,6.692864
2022-09-11T11:54:14Z,18s,2061.19051,6.619136
2022-09-11T11:54:33Z,19s,2022.840541,6.647808
2022-09-11T11:54:48Z,15s,1988.660498,6.688768
2022-09-11T11:55:05Z,17s,2124.94207,6.733824
2022-09-11T11:55:24Z,19s,2023.607354,6.762496
2022-09-11T11:55:39Z,15s,2140.471573,6.770688
2022-09-11T11:55:56Z,17s,2035.481873,6.647808
2022-09-11T11:56:27Z,18s,1939.892656,6.746112
2022-09-11T11:56:41Z,14s,2110.463296,6.664192
2022-09-11T11:56:52Z,11s,2019.397976,6.848512
2022-09-11T11:57:10Z,18s,2135.881015,6.742016
2022-09-11T11:57:24Z,14s,2088.354545,6.729728
2022-09-11T11:57:36Z,12s,2051.677806,6.610944
2022-09-11T11:57:59Z,23s,2029.803064,6.606848
2022-09-11T11:58:13Z,14s,2090.867308,6.623232
2022-09-11T11:58:13Z,14s,2090.867308,6.623232
2022-09-11T11:58:42Z,29s,1991.33191,6.701056
2022-09-11T11:58:54Z,12s,2125.248147,6.889472
2022-09-11T11:59:14Z,20s,1985.854696,6.750208
2022-09-11T11:59:28Z,14s,2162.671317,6.885376
