timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T12:02:24Z,12s,79.844962,5.251072
2022-09-11T12:02:24Z,12s,79.844962,5.251072
2022-09-11T12:02:43Z,19s,280.630302,5.828608
2022-09-11T12:03:02Z,19s,655.677088,5.8368
2022-09-11T12:03:17Z,15s,837.122662,6.017024
2022-09-11T12:03:27Z,10s,852.797503,6.197248
2022-09-11T12:03:56Z,29s,824.073013,6.324224
2022-09-11T12:04:08Z,12s,817.882026,6.316032
2022-09-11T12:04:21Z,13s,877.051437,7.467008
2022-09-11T12:04:38Z,17s,829.062631,7.012352
2022-09-11T12:04:50Z,12s,835.923511,6.934528
2022-09-11T12:05:02Z,12s,811.27024,7.090176
2022-09-11T12:05:17Z,15s,798.235632,7.081984
2022-09-11T12:05:35Z,18s,868.591335,7.204864
