timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T12:34:17Z,13s,46.41663,5.214208
2022-09-11T12:34:27Z,10s,135.751233,5.279744
2022-09-11T12:34:47Z,20s,318.29449,5.971968
2022-09-11T12:35:01Z,14s,346.989239,6.008832
2022-09-11T12:35:13Z,12s,334.428724,6.012928
2022-09-11T12:35:29Z,16s,355.770945,6.152192
2022-09-11T12:35:45Z,16s,338.781308,6.643712
2022-09-11T12:35:58Z,13s,364.721681,6.610944
2022-09-11T12:36:15Z,17s,356.256084,6.500352
2022-09-11T12:36:32Z,17s,353.127628,6.516736
2022-09-11T12:36:51Z,19s,348.195549,6.623232
2022-09-11T12:36:51Z,19s,348.195549,6.623232
2022-09-11T12:37:18Z,27s,357.871856,6.63552
2022-09-11T12:37:30Z,12s,354.357339,6.508544
2022-09-11T12:37:49Z,19s,344.600988,6.746112
