timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T12:35:18Z,14s,79.352824,5.378048
2022-09-11T12:35:31Z,13s,499.074347,5.853184
2022-09-11T12:35:45Z,14s,976.314608,5.89824
2022-09-11T12:36:02Z,17s,949.914267,6.033408
2022-09-11T12:36:13Z,11s,914.005498,5.922816
2022-09-11T12:36:26Z,13s,829.731724,5.9392
2022-09-11T12:36:40Z,14s,773.01205,5.9392
2022-09-11T12:36:51Z,11s,755.568762,5.9392
2022-09-11T12:37:08Z,17s,818.22005,5.894144
2022-09-11T12:37:27Z,19s,874.456405,5.902336
2022-09-11T12:37:44Z,17s,916.463862,5.914624
2022-09-11T12:38:03Z,19s,877.231696,6.053888
2022-09-11T12:38:20Z,17s,1175.766256,7.245824
2022-09-11T12:38:20Z,17s,1175.766256,7.245824
2022-09-11T12:38:38Z,18s,984.654462,7.155712
2022-09-11T12:38:51Z,13s,1036.939873,7.159808
2022-09-11T12:39:11Z,20s,949.891438,7.155712
2022-09-11T12:39:23Z,12s,950.742411,6.754304
2022-09-11T12:39:41Z,18s,1087.572681,6.69696
2022-09-11T12:39:56Z,15s,1037.890673,6.4512
2022-09-11T12:40:15Z,19s,869.568789,6.406144
2022-09-11T12:40:28Z,13s,1053.117653,6.381568
