timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T13:10:16Z,19s,306.651212,5.3248
2022-09-11T13:10:36Z,20s,581.351114,5.459968
2022-09-11T13:10:46Z,10s,723.141179,5.496832
2022-09-11T13:11:01Z,15s,933.35626,7.221248
2022-09-11T13:11:13Z,12s,1105.30647,7.487488
2022-09-11T13:11:40Z,27s,1083.636484,7.446528
2022-09-11T13:11:40Z,27s,1083.636484,7.446528
2022-09-11T13:11:58Z,18s,1057.281572,7.348224
2022-09-11T13:12:25Z,27s,947.774643,7.335936
2022-09-11T13:12:37Z,12s,918.016987,6.909952
2022-09-11T13:12:37Z,12s,918.016987,6.909952
2022-09-11T13:12:56Z,19s,1086.232642,6.848512
2022-09-11T13:13:12Z,16s,1036.093985,6.877184
2022-09-11T13:13:31Z,19s,947.446917,6.885376
2022-09-11T13:13:52Z,21s,1010.957337,6.873088
2022-09-11T13:14:09Z,17s,965.688191,6.8608
2022-09-11T13:14:19Z,10s,1235.429717,6.8608
2022-09-11T13:14:30Z,11s,1093.211291,6.8608
2022-09-11T13:14:46Z,16s,1128.164321,6.889472
2022-09-11T13:14:59Z,13s,862.649741,6.836224
2022-09-11T13:15:37Z,18s,1048.616936,6.672384
2022-09-11T13:15:50Z,13s,1178.966628,6.565888
2022-09-11T13:16:08Z,18s,1092.938925,6.57408
2022-09-11T13:16:23Z,15s,1023.826139,6.344704
2022-09-11T13:16:36Z,13s,1014.789857,6.332416
2022-09-11T13:16:47Z,11s,1131.220488,6.3488
2022-09-11T13:17:02Z,15s,921.117948,6.340608
2022-09-11T13:17:14Z,12s,1137.856689,6.299648
2022-09-11T13:17:31Z,17s,1001.571955,6.340608
2022-09-11T13:17:47Z,16s,1033.853473,6.3488
2022-09-11T13:17:58Z,11s,1148.983813,7.061504
2022-09-11T13:18:14Z,16s,1160.345845,7.315456
2022-09-11T13:18:30Z,16s,1045.523044,7.323648
