timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T04:42:05Z,19s,128.555874,5.296128
2022-09-11T04:42:18Z,13s,1013.156347,5.742592
2022-09-11T04:42:33Z,15s,1155.983022,5.808128
2022-09-11T04:42:51Z,18s,1050.443918,5.812224
2022-09-11T04:43:07Z,16s,1118.641706,5.844992
2022-09-11T04:43:21Z,14s,1223.661064,5.976064
2022-09-11T04:43:38Z,17s,1216.50869,5.906432
2022-09-11T04:43:53Z,15s,1695.389493,6.365184
2022-09-11T04:44:05Z,12s,1994.006862,6.541312
2022-09-11T04:44:17Z,12s,1986.754951,6.742016
2022-09-11T04:44:32Z,15s,2136.136196,6.51264
2022-09-11T04:44:46Z,14s,1988.993344,6.656
2022-09-11T04:44:59Z,13s,1940.36007,6.53312
2022-09-11T04:45:17Z,18s,2066.107774,6.873088
2022-09-11T04:45:33Z,16s,1980.525109,6.606848
2022-09-11T04:45:49Z,16s,2005.757863,6.520832
2022-09-11T04:46:00Z,11s,2056.208445,6.508544
2022-09-11T04:46:13Z,13s,1997.487918,6.803456
2022-09-11T04:46:32Z,19s,2077.746403,6.864896
2022-09-11T04:46:45Z,13s,1979.108975,6.914048
2022-09-11T04:47:02Z,17s,2039.711242,6.656
2022-09-11T04:47:18Z,16s,2019.57101,6.766592
2022-09-11T04:47:31Z,13s,2100.310878,6.51264
2022-09-11T04:47:48Z,17s,1972.086575,6.643712
2022-09-11T04:48:06Z,18s,2073.613574,6.504448
2022-09-11T04:48:19Z,13s,2041.849285,6.664192
2022-09-11T04:48:32Z,13s,1942.008959,6.541312
2022-09-11T04:48:45Z,13s,2147.79889,6.606848
2022-09-11T04:48:59Z,14s,1925.398057,6.766592
2022-09-11T04:49:12Z,13s,2038.293562,6.672384
2022-09-11T04:49:38Z,26s,2054.685198,6.844416
2022-09-11T04:49:51Z,13s,1989.171393,6.791168
2022-09-11T04:50:07Z,16s,2008.874345,6.529024
2022-09-11T04:50:22Z,15s,1994.489034,6.987776
2022-09-11T04:50:40Z,18s,2073.66953,6.873088
2022-09-11T04:50:55Z,15s,2003.404685,6.897664
2022-09-11T04:50:55Z,15s,2003.404685,6.897664
2022-09-11T04:51:14Z,19s,2121.828692,6.934528
2022-09-11T04:51:34Z,20s,1987.732006,7.258112
2022-09-11T04:51:52Z,18s,2117.352949,7.061504
2022-09-11T04:52:11Z,19s,1971.003997,7.200768
2022-09-11T04:52:25Z,14s,1984.227925,7.00416
2022-09-11T04:52:25Z,14s,1984.227925,7.00416
2022-09-11T04:52:56Z,31s,2077.817422,6.705152
2022-09-11T04:52:56Z,31s,2077.817422,6.705152
2022-09-11T04:53:15Z,19s,2040.891634,6.549504
2022-09-11T04:53:41Z,26s,2063.325307,6.569984
2022-09-11T04:53:41Z,26s,2063.325307,6.569984
2022-09-11T04:54:10Z,29s,1983.764222,6.565888
2022-09-11T04:54:23Z,13s,2067.017007,6.59456
2022-09-11T04:54:23Z,13s,2067.017007,6.59456
2022-09-11T04:54:52Z,29s,2098.157073,6.639616
