timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T13:58:59Z,15s,379.002021,5.398528
2022-09-11T13:59:18Z,19s,757.420264,5.726208
2022-09-11T13:59:30Z,12s,847.218361,5.632
2022-09-11T13:59:46Z,16s,1106.246409,6.565888
2022-09-11T14:00:04Z,18s,1134.167053,6.684672
2022-09-11T14:00:18Z,14s,1059.377806,6.541312
2022-09-11T14:00:40Z,22s,906.887662,6.557696
2022-09-11T14:00:55Z,15s,1226.557436,6.488064
2022-09-11T14:00:55Z,15s,1226.557436,6.488064
2022-09-11T14:01:39Z,26s,1066.643031,6.311936
2022-09-11T14:01:54Z,15s,1000.757376,6.28736
2022-09-11T14:02:05Z,11s,1092.697158,6.295552
2022-09-11T14:02:22Z,17s,948.734283,6.283264
2022-09-11T14:02:37Z,15s,1156.627061,6.189056
2022-09-11T14:02:53Z,16s,1011.028671,6.189056
2022-09-11T14:03:11Z,18s,894.96043,6.213632
2022-09-11T14:03:22Z,11s,1000.823322,6.189056
2022-09-11T14:03:35Z,13s,985.228414,6.209536
2022-09-11T14:03:50Z,15s,926.481103,6.193152
2022-09-11T14:04:03Z,13s,1094.601436,6.22592
2022-09-11T14:04:18Z,15s,892.083192,6.213632
2022-09-11T14:04:32Z,14s,1077.805362,6.250496
2022-09-11T14:04:48Z,16s,969.578546,6.254592
2022-09-11T14:05:01Z,13s,1138.075129,6.275072
2022-09-11T14:05:24Z,23s,1079.473773,6.26688
2022-09-11T14:05:38Z,14s,1047.782679,6.279168
2022-09-11T14:05:56Z,18s,900.942483,6.258688
2022-09-11T14:06:09Z,13s,1050.233877,6.250496
2022-09-11T14:06:21Z,12s,1063.153664,6.275072
