timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T14:29:48Z,14s,187.040653,5.402624
2022-09-11T14:30:00Z,12s,851.87918,5.681152
2022-09-11T14:30:17Z,17s,1075.631993,5.689344
2022-09-11T14:30:35Z,18s,1089.431942,5.718016
2022-09-11T14:30:45Z,10s,1082.243384,5.746688
2022-09-11T14:31:04Z,19s,1028.426827,5.771264
2022-09-11T14:31:04Z,19s,1028.426827,5.771264
2022-09-11T14:31:34Z,30s,1204.545851,6.017024
2022-09-11T14:31:46Z,12s,1964.013905,6.06208
2022-09-11T14:32:06Z,20s,2081.515252,6.197248
2022-09-11T14:32:20Z,14s,2086.860824,6.209536
2022-09-11T14:32:34Z,14s,2153.523921,6.311936
2022-09-11T14:32:46Z,12s,2069.207922,6.352896
2022-09-11T14:32:59Z,13s,1968.605224,6.647808
2022-09-11T14:33:09Z,10s,2131.868386,6.402048
2022-09-11T14:33:26Z,17s,2127.270146,6.529024
2022-09-11T14:33:42Z,16s,2111.388692,6.438912
2022-09-11T14:33:58Z,16s,2093.330783,6.51264
2022-09-11T14:34:14Z,16s,2080.142533,6.529024
2022-09-11T14:34:30Z,16s,2048.869927,6.393856
2022-09-11T14:34:48Z,18s,2074.548466,6.418432
2022-09-11T14:34:48Z,18s,2074.548466,6.418432
2022-09-11T14:35:06Z,18s,2183.047717,6.43072
2022-09-11T14:35:26Z,20s,2011.025028,6.43072
2022-09-11T14:35:36Z,10s,2282.112908,6.455296
2022-09-11T14:35:51Z,15s,2087.948071,6.606848
2022-09-11T14:36:09Z,18s,2049.126093,6.63552
2022-09-11T14:36:24Z,15s,2122.179123,6.53312
2022-09-11T14:36:37Z,13s,2100.064707,6.524928
2022-09-11T14:36:54Z,17s,2046.160751,6.705152
2022-09-11T14:37:13Z,19s,2157.404198,6.69696
2022-09-11T14:37:32Z,19s,2134.849065,6.561792
2022-09-11T14:37:44Z,12s,2123.656232,6.565888
2022-09-11T14:38:04Z,20s,2069.150629,6.660096
2022-09-11T14:38:16Z,12s,2234.068448,6.59456
2022-09-11T14:38:31Z,15s,2085.81629,6.73792
2022-09-11T14:38:44Z,13s,2114.730405,6.483968
2022-09-11T14:38:57Z,13s,1996.997539,6.483968
2022-09-11T14:39:13Z,16s,2029.761048,6.529024
2022-09-11T14:39:24Z,11s,2093.145211,6.705152
2022-09-11T14:39:39Z,15s,2182.857874,6.602752
2022-09-11T14:39:58Z,19s,2098.237488,6.643712
2022-09-11T14:40:11Z,13s,2046.072495,6.524928
2022-09-11T14:40:29Z,18s,2030.984199,6.672384
