timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T15:37:23Z,14s,125.378631,5.234688
2022-09-11T15:37:34Z,11s,505.043207,5.373952
2022-09-11T15:37:47Z,13s,577.528795,5.484544
2022-09-11T15:37:58Z,11s,692.351368,5.513216
2022-09-11T15:38:17Z,19s,984.408006,7.569408
2022-09-11T15:38:28Z,11s,1174.282349,7.299072
2022-09-11T15:38:46Z,18s,1090.838156,7.2704
2022-09-11T15:39:04Z,18s,990.643648,7.196672
2022-09-11T15:39:19Z,15s,1088.419307,7.192576
2022-09-11T15:39:33Z,14s,1077.919277,7.192576
2022-09-11T15:39:53Z,20s,1099.265456,7.225344
2022-09-11T15:39:53Z,20s,1099.265456,7.225344
2022-09-11T15:40:12Z,19s,1120.533269,6.926336
2022-09-11T15:40:30Z,18s,1124.98683,6.733824
2022-09-11T15:40:46Z,16s,1030.110306,6.721536
2022-09-11T15:41:01Z,15s,1075.009682,6.73792
2022-09-11T15:41:17Z,16s,1021.336539,6.729728
2022-09-11T15:41:29Z,12s,957.518449,6.733824
2022-09-11T15:41:44Z,15s,968.597719,6.725632
2022-09-11T15:41:58Z,14s,1020.159784,6.750208
2022-09-11T15:42:12Z,14s,1081.740192,6.774784
2022-09-11T15:42:28Z,16s,976.220919,6.770688
2022-09-11T15:42:45Z,17s,1060.925608,6.782976
2022-09-11T15:43:00Z,15s,1031.448863,6.77888
2022-09-11T15:43:16Z,16s,1062.306099,6.787072
2022-09-11T15:43:39Z,23s,1133.757296,6.811648
2022-09-11T15:43:50Z,11s,1067.141904,6.828032
2022-09-11T15:44:09Z,19s,1026.245056,6.77888
2022-09-11T15:44:09Z,19s,1026.245056,6.77888
2022-09-11T15:44:26Z,17s,1011.277569,6.803456
2022-09-11T15:44:45Z,19s,1062.917855,6.811648
