timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T15:34:27Z,16s,149.746407,5.337088
2022-09-11T15:34:44Z,17s,323.675746,6.660096
2022-09-11T15:34:57Z,13s,312.912886,6.590464
2022-09-11T15:35:12Z,15s,327.762773,6.668288
2022-09-11T15:35:38Z,26s,334.355095,6.582272
2022-09-11T15:35:50Z,12s,327.525048,6.586368
2022-09-11T15:36:02Z,12s,327.758601,6.590464
2022-09-11T15:36:16Z,14s,325.252838,6.71744
2022-09-11T15:36:29Z,13s,330.168723,6.692864
2022-09-11T15:36:49Z,20s,317.752776,6.852608
