timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T04:58:55Z,13s,87.714269,5.382144
2022-09-11T04:59:09Z,14s,205.210659,5.623808
2022-09-11T04:59:09Z,14s,205.210659,5.623808
2022-09-11T04:59:41Z,32s,215.405383,5.922816
2022-09-11T04:59:41Z,32s,215.405383,5.922816
2022-09-11T04:59:58Z,17s,194.793027,5.926912
2022-09-11T05:00:13Z,15s,211.6938,5.996544
2022-09-11T05:00:30Z,17s,208.284537,6.283264
2022-09-11T05:00:56Z,26s,214.831213,6.500352
2022-09-11T05:01:11Z,15s,207.055484,6.26688
2022-09-11T05:01:11Z,15s,207.055484,6.26688
2022-09-11T05:01:28Z,17s,220.320293,6.258688
2022-09-11T05:01:43Z,15s,201.412945,6.258688
2022-09-11T05:02:02Z,19s,210.418018,6.393856
2022-09-11T05:02:26Z,24s,211.807581,6.524928
2022-09-11T05:02:26Z,24s,211.807581,6.524928
2022-09-11T05:02:42Z,16s,222.900404,6.38976
2022-09-11T05:03:00Z,18s,211.868171,6.365184
2022-09-11T05:03:18Z,18s,201.367326,6.381568
