timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T16:10:18Z,13s,235.35963,5.5296
2022-09-11T16:10:28Z,10s,1011.619678,5.697536
2022-09-11T16:10:48Z,20s,1064.242825,5.873664
2022-09-11T16:11:00Z,12s,1059.031666,5.910528
2022-09-11T16:11:13Z,13s,1081.977465,5.931008
2022-09-11T16:11:28Z,15s,1059.895018,5.976064
2022-09-11T16:12:00Z,13s,974.99154,5.996544
2022-09-11T16:12:10Z,10s,924.137861,6.02112
2022-09-11T16:12:24Z,14s,1011.364665,6.0416
2022-09-11T16:12:47Z,23s,975.115087,5.996544
2022-09-11T16:13:04Z,17s,1006.569681,6.017024
2022-09-11T16:13:17Z,13s,902.943758,6.148096
2022-09-11T16:13:34Z,17s,987.700574,6.0416
2022-09-11T16:13:34Z,17s,987.700574,6.0416
2022-09-11T16:13:53Z,19s,1060.664759,6.057984
2022-09-11T16:14:13Z,20s,1030.440961,6.070272
2022-09-11T16:14:29Z,16s,1029.854999,6.053888
2022-09-11T16:14:47Z,18s,1054.795544,6.070272
2022-09-11T16:15:05Z,18s,923.278579,6.045696
2022-09-11T16:15:05Z,18s,923.278579,6.045696
2022-09-11T16:15:24Z,19s,1000.520822,6.08256
2022-09-11T16:15:40Z,16s,1044.487146,6.086656
2022-09-11T16:16:04Z,24s,1010.155047,6.08256
2022-09-11T16:16:04Z,24s,1010.155047,6.08256
2022-09-11T16:16:23Z,19s,1057.113523,6.107136
2022-09-11T16:16:42Z,19s,1053.947699,6.131712
2022-09-11T16:17:00Z,18s,1048.243675,6.426624
2022-09-11T16:17:13Z,13s,1170.1723,7.450624
2022-09-11T16:17:27Z,14s,1087.703759,7.348224
2022-09-11T16:17:45Z,18s,921.407895,7.2704
