timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T16:05:23Z,19s,130.096452,5.623808
2022-09-11T16:05:43Z,20s,243.185366,5.763072
2022-09-11T16:05:57Z,14s,134.975675,5.763072
2022-09-11T16:06:16Z,19s,72.092265,5.763072
2022-09-11T16:06:28Z,12s,206.501601,6.3488
2022-09-11T16:06:42Z,14s,291.807288,6.848512
2022-09-11T16:07:04Z,22s,291.77842,6.84032
2022-09-11T16:07:19Z,15s,287.329867,6.844416
2022-09-11T16:07:19Z,15s,287.329867,6.844416
2022-09-11T16:07:49Z,30s,284.151326,6.975488
2022-09-11T16:08:04Z,15s,287.623353,6.832128
2022-09-11T16:08:04Z,15s,287.623353,6.832128
2022-09-11T16:08:21Z,17s,296.346642,6.971392
