timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T16:56:19Z,12s,80.915732,5.279744
2022-09-11T16:56:35Z,16s,249.465229,6.275072
2022-09-11T16:56:46Z,11s,283.73201,6.680576
2022-09-11T16:57:02Z,16s,296.247798,6.770688
2022-09-11T16:57:20Z,18s,288.687038,6.483968
2022-09-11T16:57:32Z,12s,273.111156,6.610944
2022-09-11T16:57:45Z,13s,307.424198,6.49216
2022-09-11T16:57:58Z,13s,279.739351,6.475776
2022-09-11T16:58:09Z,11s,294.419544,6.602752
2022-09-11T16:58:25Z,16s,285.130298,6.582272
2022-09-11T16:58:41Z,16s,294.579935,6.586368
2022-09-11T16:58:56Z,15s,272.503865,6.598656
2022-09-11T16:59:23Z,27s,297.969803,6.606848
2022-09-11T16:59:23Z,27s,297.969803,6.606848
2022-09-11T16:59:51Z,28s,286.513924,6.606848
