timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T17:15:19Z,12s,219.606584,5.476352
2022-09-11T17:15:31Z,12s,881.101496,5.804032
2022-09-11T17:15:48Z,17s,1020.565944,5.902336
2022-09-11T17:15:48Z,17s,1020.565944,5.902336
2022-09-11T17:16:20Z,32s,995.762587,6.152192
2022-09-11T17:16:20Z,32s,995.762587,6.152192
2022-09-11T17:16:49Z,29s,1025.486973,6.033408
2022-09-11T17:17:04Z,15s,990.111119,6.00064
2022-09-11T17:17:16Z,12s,1045.4363,6.299648
2022-09-11T17:17:31Z,15s,973.581916,6.16448
2022-09-11T17:17:43Z,12s,1066.21053,6.037504
2022-09-11T17:17:56Z,13s,874.576399,6.02112
2022-09-11T17:18:15Z,19s,1016.632549,6.0416
2022-09-11T17:18:29Z,14s,1035.523043,6.033408
2022-09-11T17:18:43Z,14s,894.572376,6.037504
2022-09-11T17:19:00Z,17s,981.193418,6.029312
2022-09-11T17:19:13Z,13s,944.869691,6.0416
2022-09-11T17:19:27Z,14s,1028.748817,6.057984
2022-09-11T17:19:50Z,23s,1042.486344,6.098944
2022-09-11T17:19:50Z,23s,1042.486344,6.098944
2022-09-11T17:20:10Z,20s,945.144678,6.115328
2022-09-11T17:20:25Z,15s,983.844508,6.111232
2022-09-11T17:20:44Z,19s,993.711013,6.234112
2022-09-11T17:21:03Z,19s,901.761361,6.197248
2022-09-11T17:21:22Z,19s,985.721205,6.20544
2022-09-11T17:21:22Z,19s,985.721205,6.20544
2022-09-11T17:21:50Z,28s,977.958012,6.332416
2022-09-11T17:22:06Z,16s,1035.089299,7.032832
2022-09-11T17:22:06Z,16s,1035.089299,7.032832
2022-09-11T17:22:24Z,18s,1049.497787,7.39328
2022-09-11T17:22:41Z,17s,942.362829,7.299072
