timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T17:31:23Z,16s,233.941344,5.390336
2022-09-11T17:31:38Z,15s,544.563452,5.496832
2022-09-11T17:31:49Z,11s,597.70385,5.5296
2022-09-11T17:32:06Z,17s,799.179208,6.541312
2022-09-11T17:32:22Z,16s,1172.016925,7.385088
2022-09-11T17:32:44Z,22s,905.158977,7.323648
2022-09-11T17:32:44Z,22s,905.158977,7.323648
2022-09-11T17:33:17Z,33s,1130.635097,7.360512
2022-09-11T17:33:31Z,14s,941.112588,7.266304
2022-09-11T17:33:45Z,14s,993.910368,7.241728
2022-09-11T17:33:45Z,14s,993.910368,7.241728
2022-09-11T17:34:17Z,32s,1020.741187,7.237632
2022-09-11T17:34:31Z,14s,1161.709584,7.192576
2022-09-11T17:34:45Z,14s,987.396652,7.180288
2022-09-11T17:35:00Z,15s,1051.106451,7.036928
2022-09-11T17:35:13Z,13s,1037.35084,7.049216
2022-09-11T17:35:30Z,17s,1013.081282,7.077888
2022-09-11T17:35:46Z,16s,1063.436612,7.069696
2022-09-11T17:35:46Z,16s,1063.436612,7.069696
2022-09-11T17:36:17Z,31s,944.079624,6.823936
2022-09-11T17:36:32Z,15s,1065.235167,6.828032
2022-09-11T17:36:47Z,15s,921.477609,6.557696
2022-09-11T17:36:47Z,15s,921.477609,6.557696
2022-09-11T17:37:16Z,29s,913.44443,6.545408
2022-09-11T17:37:29Z,13s,1101.762623,6.496256
2022-09-11T17:37:41Z,12s,1135.464092,6.586368
2022-09-11T17:37:53Z,12s,1024.588464,6.443008
2022-09-11T17:38:09Z,16s,981.371594,6.488064
2022-09-11T17:38:25Z,16s,943.106869,6.455296
2022-09-11T17:38:46Z,21s,1062.461194,6.426624
2022-09-11T17:39:00Z,14s,1008.203364,6.438912
2022-09-11T17:39:00Z,14s,1008.203364,6.438912
