timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T18:20:11Z,14s,168.868951,5.443584
2022-09-11T18:20:22Z,11s,841.955591,5.8368
2022-09-11T18:20:41Z,19s,959.105666,5.943296
2022-09-11T18:20:41Z,19s,959.105666,5.943296
2022-09-11T18:21:00Z,19s,940.792524,5.955584
2022-09-11T18:21:12Z,12s,965.025118,5.971968
2022-09-11T18:21:27Z,15s,998.591962,6.131712
2022-09-11T18:21:45Z,18s,997.327685,6.033408
2022-09-11T18:22:02Z,17s,911.1697,6.299648
2022-09-11T18:22:15Z,13s,978.029959,6.750208
2022-09-11T18:22:29Z,14s,974.99397,6.713344
2022-09-11T18:22:45Z,16s,933.756524,6.729728
2022-09-11T18:23:02Z,17s,980.881122,6.787072
2022-09-11T18:23:13Z,11s,1030.596395,6.750208
2022-09-11T18:23:30Z,17s,967.428383,6.848512
2022-09-11T18:23:45Z,15s,973.74785,6.688768
2022-09-11T18:23:59Z,14s,914.282811,6.545408
2022-09-11T18:24:17Z,18s,980.367312,6.631424
2022-09-11T18:24:37Z,20s,971.062323,6.508544
2022-09-11T18:24:51Z,14s,1005.168983,6.47168
2022-09-11T18:25:08Z,17s,943.69257,6.467584
2022-09-11T18:25:18Z,10s,1020.851354,6.496256
2022-09-11T18:25:29Z,11s,894.01382,6.475776
2022-09-11T18:25:47Z,18s,999.76276,6.520832
2022-09-11T18:26:07Z,20s,975.300653,6.418432
2022-09-11T18:26:26Z,19s,967.263723,6.69696
2022-09-11T18:26:41Z,15s,982.32628,6.995968
