timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T18:29:52Z,27s,51.976537,5.607424
2022-09-11T18:29:52Z,27s,51.976537,5.607424
2022-09-11T18:30:12Z,20s,48.860389,5.718016
2022-09-11T18:30:26Z,14s,50.801237,5.763072
2022-09-11T18:30:45Z,19s,49.191743,5.763072
2022-09-11T18:30:59Z,14s,49.066275,5.763072
2022-09-11T18:31:10Z,11s,53.619482,5.763072
2022-09-11T18:31:27Z,17s,50.074203,5.767168
2022-09-11T18:31:44Z,17s,50.049492,5.767168
2022-09-11T18:32:02Z,18s,48.548144,5.779456
2022-09-11T18:32:21Z,19s,50.108867,5.799936
2022-09-11T18:32:34Z,13s,51.222577,5.799936
2022-09-11T18:32:48Z,14s,47.518307,5.799936
2022-09-11T18:32:58Z,10s,52.776927,5.804032
