timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T19:08:08Z,13s,118.303374,5.234688
2022-09-11T19:08:22Z,14s,431.297069,5.332992
2022-09-11T19:08:37Z,15s,514.262691,5.361664
2022-09-11T19:08:55Z,18s,608.722359,6.803456
2022-09-11T19:09:09Z,14s,856.075699,7.815168
2022-09-11T19:09:27Z,18s,910.848077,7.135232
2022-09-11T19:09:42Z,15s,877.736809,7.18848
2022-09-11T19:09:56Z,14s,881.746831,7.225344
2022-09-11T19:10:10Z,14s,865.286826,7.278592
2022-09-11T19:10:26Z,16s,897.817014,7.20896
2022-09-11T19:10:44Z,18s,858.862302,7.237632
2022-09-11T19:11:02Z,18s,911.879186,7.168
2022-09-11T19:11:14Z,12s,823.668074,7.057408
2022-09-11T19:11:24Z,10s,891.44668,6.92224
2022-09-11T19:11:40Z,16s,902.650048,6.71744
2022-09-11T19:11:55Z,15s,915.569481,6.721536
2022-09-11T19:12:14Z,19s,871.239837,6.721536
2022-09-11T19:12:32Z,18s,904.832122,6.979584
2022-09-11T19:12:32Z,18s,904.832122,6.979584
2022-09-11T19:12:52Z,20s,877.322163,6.823936
2022-09-11T19:13:09Z,17s,866.563424,6.971392
2022-09-11T19:13:25Z,16s,869.132119,6.836224
2022-09-11T19:13:39Z,14s,904.951638,6.950912
2022-09-11T19:13:56Z,17s,912.911742,6.930432
2022-09-11T19:14:12Z,16s,868.881055,6.909952
2022-09-11T19:14:31Z,19s,897.51293,6.938624
2022-09-11T19:14:43Z,12s,850.984869,6.770688
2022-09-11T19:15:01Z,18s,867.487244,6.754304
2022-09-11T19:15:14Z,13s,898.360079,6.815744
2022-09-11T19:15:31Z,17s,897.04378,6.791168
