timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T19:09:10Z,15s,177.409277,5.353472
2022-09-11T19:09:23Z,13s,718.518807,5.779456
2022-09-11T19:09:37Z,14s,851.870982,5.849088
2022-09-11T19:09:53Z,16s,887.660925,6.815744
2022-09-11T19:10:16Z,23s,911.766009,6.959104
2022-09-11T19:10:34Z,18s,847.198953,6.729728
2022-09-11T19:10:47Z,13s,926.562478,6.7584
2022-09-11T19:10:47Z,13s,926.562478,6.7584
2022-09-11T19:11:07Z,20s,859.251032,6.803456
2022-09-11T19:11:26Z,19s,887.237279,7.061504
2022-09-11T19:11:41Z,15s,916.626945,7.016448
2022-09-11T19:11:56Z,15s,870.726583,6.803456
2022-09-11T19:12:09Z,13s,866.120641,6.742016
2022-09-11T19:12:27Z,18s,888.780119,6.905856
2022-09-11T19:12:46Z,19s,888.506766,6.774784
2022-09-11T19:12:46Z,19s,888.506766,6.774784
2022-09-11T19:13:06Z,20s,847.472798,6.81984
2022-09-11T19:13:24Z,18s,906.237856,6.955008
2022-09-11T19:13:36Z,12s,905.031006,6.832128
2022-09-11T19:13:55Z,19s,875.622371,6.8608
2022-09-11T19:14:15Z,20s,867.656851,6.803456
2022-09-11T19:14:32Z,17s,898.624342,6.811648
2022-09-11T19:14:32Z,17s,898.624342,6.811648
2022-09-11T19:14:50Z,18s,854.167257,6.844416
2022-09-11T19:15:07Z,17s,896.414143,6.926336
2022-09-11T19:15:22Z,15s,921.589268,6.918144
2022-09-11T19:15:40Z,18s,881.131457,7.131136
2022-09-11T19:16:00Z,20s,854.681414,7.213056
