timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T19:04:14Z,19s,202.636007,5.681152
2022-09-11T19:04:30Z,16s,234.826649,5.996544
2022-09-11T19:04:48Z,18s,252.325758,5.996544
2022-09-11T19:04:48Z,18s,252.325758,5.996544
2022-09-11T19:05:05Z,17s,231.167832,6.012928
2022-09-11T19:05:23Z,18s,251.754772,6.18496
2022-09-11T19:05:41Z,18s,244.213441,6.516736
2022-09-11T19:05:57Z,16s,237.495331,6.561792
2022-09-11T19:06:08Z,11s,242.110384,6.569984
2022-09-11T19:06:26Z,18s,250.751621,6.582272
2022-09-11T19:06:42Z,16s,251.58724,6.586368
2022-09-11T19:06:53Z,11s,245.744812,6.692864
2022-09-11T19:07:19Z,26s,237.411291,6.578176
2022-09-11T19:07:31Z,12s,260.168959,6.590464
2022-09-11T19:07:31Z,12s,260.168959,6.590464
2022-09-11T19:08:03Z,32s,243.70412,6.57408
2022-09-11T19:08:03Z,32s,243.70412,6.57408
2022-09-11T19:08:20Z,17s,238.879377,6.69696
2022-09-11T19:08:47Z,27s,253.237626,6.578176
