timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T19:01:42Z,20s,48.817103,5.545984
2022-09-11T19:01:54Z,12s,52.995277,5.55008
2022-09-11T19:02:14Z,20s,49.965144,5.783552
2022-09-11T19:02:33Z,19s,48.504739,5.95968
2022-09-11T19:02:33Z,19s,48.504739,5.95968
2022-09-11T19:02:50Z,17s,50.628416,5.8368
2022-09-11T19:03:17Z,27s,49.655533,5.8368
2022-09-11T19:03:33Z,16s,49.062179,5.844992
2022-09-11T19:03:46Z,13s,52.777104,5.840896
2022-09-11T19:04:01Z,15s,48.420872,5.869568
2022-09-11T19:04:15Z,14s,49.330724,5.996544
2022-09-11T19:04:29Z,14s,50.90429,5.869568
2022-09-11T19:04:43Z,14s,50.453996,5.869568
2022-09-11T19:04:59Z,16s,51.644677,5.873664
