timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T19:23:22Z,18s,439.697561,5.40672
2022-09-11T19:23:37Z,15s,561.515177,5.517312
2022-09-11T19:23:52Z,15s,657.851511,7.032832
2022-09-11T19:24:10Z,18s,911.751458,7.217152
2022-09-11T19:24:32Z,22s,926.625668,7.000064
2022-09-11T19:24:45Z,13s,839.858763,6.889472
2022-09-11T19:25:00Z,15s,949.493161,6.914048
2022-09-11T19:25:16Z,16s,862.614826,7.0656
2022-09-11T19:25:33Z,17s,938.592763,6.979584
2022-09-11T19:25:49Z,16s,873.223308,6.959104
2022-09-11T19:26:03Z,14s,912.681919,7.073792
2022-09-11T19:26:18Z,15s,905.9278,6.946816
2022-09-11T19:26:33Z,15s,914.707367,6.897664
2022-09-11T19:26:46Z,13s,862.643055,6.877184
2022-09-11T19:27:00Z,14s,935.379455,6.864896
2022-09-11T19:27:17Z,17s,878.263932,6.991872
2022-09-11T19:27:31Z,14s,927.859713,6.889472
2022-09-11T19:27:43Z,12s,838.165166,6.877184
2022-09-11T19:27:57Z,14s,946.528631,6.926336
2022-09-11T19:28:17Z,20s,873.273278,6.897664
2022-09-11T19:28:17Z,20s,873.273278,6.897664
2022-09-11T19:28:35Z,18s,925.520865,6.918144
2022-09-11T19:28:52Z,17s,910.323584,6.905856
2022-09-11T19:29:07Z,15s,874.205976,6.914048
2022-09-11T19:29:20Z,13s,906.25736,6.934528
2022-09-11T19:29:40Z,20s,899.810074,6.897664
2022-09-11T19:29:56Z,16s,913.643095,7.028736
2022-09-11T19:30:19Z,23s,913.434226,6.897664
2022-09-11T19:30:19Z,23s,913.434226,6.897664
2022-09-11T19:30:48Z,29s,886.510219,7.217152
2022-09-11T19:30:58Z,10s,946.088866,7.790592
2022-09-11T19:31:10Z,12s,863.970102,7.53664
2022-09-11T19:31:35Z,25s,880.145524,7.45472
