timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T19:40:02Z,14s,148.342516,5.292032
2022-09-11T19:40:29Z,27s,348.055719,5.382144
2022-09-11T19:40:29Z,27s,348.055719,5.382144
2022-09-11T19:40:48Z,19s,509.294976,6.836224
2022-09-11T19:41:04Z,16s,731.039679,7.90528
2022-09-11T19:41:24Z,20s,691.176992,7.18848
2022-09-11T19:41:35Z,11s,738.227553,7.24992
2022-09-11T19:41:49Z,14s,733.356987,7.172096
2022-09-11T19:42:03Z,14s,736.503695,7.176192
2022-09-11T19:42:21Z,18s,696.168974,0.007168
2022-09-11T19:42:43Z,22s,736.387548,7.061504
2022-09-11T19:42:56Z,13s,693.989812,7.192576
2022-09-11T19:43:11Z,15s,755.622314,7.364608
2022-09-11T19:43:25Z,14s,717.226565,6.9632
2022-09-11T19:43:36Z,11s,689.142536,6.98368
2022-09-11T19:43:50Z,14s,737.274381,7.135232
2022-09-11T19:44:05Z,15s,731.37996,7.262208
2022-09-11T19:44:20Z,15s,726.297438,7.032832
2022-09-11T19:44:32Z,12s,726.801833,7.151616
2022-09-11T19:44:49Z,17s,701.924992,7.184384
2022-09-11T19:45:08Z,19s,721.403311,7.33184
2022-09-11T19:45:20Z,12s,746.160554,7.073792
2022-09-11T19:45:44Z,24s,701.135985,7.135232
2022-09-11T19:45:57Z,13s,747.12838,7.245824
2022-09-11T19:46:07Z,10s,739.81818,7.233536
2022-09-11T19:46:20Z,13s,732.616866,7.110656
2022-09-11T19:46:37Z,17s,711.055762,7.258112
2022-09-11T19:46:52Z,15s,714.155726,7.364608
2022-09-11T19:47:11Z,19s,711.194336,7.118848
2022-09-11T19:47:30Z,19s,741.409153,7.221248
2022-09-11T19:47:30Z,19s,741.409153,7.221248
2022-09-11T19:47:48Z,18s,709.44458,7.168
