timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T19:55:57Z,14s,6.611928,5.107712
2022-09-11T19:55:57Z,14s,6.611928,5.107712
2022-09-11T19:56:15Z,18s,513.661605,5.89824
2022-09-11T19:56:33Z,18s,721.724048,6.524928
2022-09-11T19:56:51Z,18s,726.087451,6.656
2022-09-11T19:57:08Z,17s,734.640105,6.914048
2022-09-11T19:57:24Z,16s,735.153775,6.590464
2022-09-11T19:57:40Z,16s,727.832565,6.705152
2022-09-11T19:57:58Z,18s,731.931771,6.569984
2022-09-11T19:57:58Z,18s,731.931771,6.569984
2022-09-11T19:58:15Z,17s,708.643779,6.569984
2022-09-11T19:58:43Z,28s,721.480282,6.762496
2022-09-11T19:58:57Z,14s,707.155681,6.770688
2022-09-11T19:58:57Z,14s,707.155681,6.770688
2022-09-11T19:59:28Z,31s,745.673975,6.832128
2022-09-11T19:59:28Z,31s,745.673975,6.832128
2022-09-11T19:59:46Z,18s,703.532789,6.946816
2022-09-11T20:00:13Z,27s,721.798799,6.795264
2022-09-11T20:00:25Z,12s,738.372802,6.885376
2022-09-11T20:00:44Z,19s,729.827383,6.971392
2022-09-11T20:00:44Z,19s,729.827383,6.971392
2022-09-11T20:01:13Z,29s,737.263446,6.868992
2022-09-11T20:01:44Z,31s,711.655772,6.73792
2022-09-11T20:01:44Z,31s,711.655772,6.73792
2022-09-11T20:02:14Z,30s,726.537175,6.746112
2022-09-11T20:02:26Z,12s,713.459424,6.893568
2022-09-11T20:02:26Z,12s,713.459424,6.893568
2022-09-11T20:02:55Z,29s,744.600314,7.3728
2022-09-11T20:03:08Z,13s,711.725512,7.237632
2022-09-11T20:03:27Z,19s,699.889697,6.98368
