timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T19:51:56Z,13s,174.883462,5.5296
2022-09-11T19:51:56Z,13s,174.883462,5.5296
2022-09-11T19:52:16Z,20s,199.714879,6.033408
2022-09-11T19:52:29Z,13s,211.230081,6.180864
2022-09-11T19:52:49Z,20s,198.446608,6.078464
2022-09-11T19:53:04Z,15s,203.442534,5.951488
2022-09-11T19:53:19Z,15s,202.771571,5.931008
2022-09-11T19:53:44Z,25s,198.511161,6.08256
2022-09-11T19:53:58Z,14s,203.845004,5.95968
2022-09-11T19:54:08Z,10s,203.241462,6.090752
2022-09-11T19:54:23Z,15s,202.830355,5.963776
2022-09-11T19:54:40Z,17s,199.269983,6.090752
2022-09-11T19:54:52Z,12s,206.952136,5.9392
2022-09-11T19:55:06Z,14s,200.114765,6.078464
