timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T19:55:00Z,16s,100.672808,5.30432
2022-09-11T19:55:17Z,17s,387.138448,5.398528
2022-09-11T19:55:33Z,16s,370.158532,5.4272
2022-09-11T19:55:50Z,17s,457.143484,7.200768
2022-09-11T19:56:00Z,10s,791.338948,8.548352
2022-09-11T19:56:20Z,20s,700.086477,7.29088
2022-09-11T19:56:31Z,11s,748.246945,7.39328
2022-09-11T19:56:49Z,18s,704.260303,7.041024
2022-09-11T19:57:02Z,13s,736.70158,7.122944
2022-09-11T19:57:19Z,17s,755.414874,7.118848
2022-09-11T19:57:37Z,18s,717.95311,7.180288
2022-09-11T19:57:54Z,17s,733.480976,7.131136
2022-09-11T19:58:09Z,15s,725.990686,7.057408
2022-09-11T19:58:27Z,18s,701.819582,7.012352
2022-09-11T19:58:27Z,18s,701.819582,7.012352
2022-09-11T19:58:46Z,19s,716.282948,7.299072
2022-09-11T19:59:01Z,15s,747.109511,6.987776
2022-09-11T19:59:21Z,20s,706.703339,6.991872
2022-09-11T19:59:34Z,13s,777.659613,7.131136
2022-09-11T19:59:46Z,12s,684.272473,6.832128
2022-09-11T20:00:06Z,20s,718.422925,7.008256
2022-09-11T20:00:22Z,16s,735.004326,7.233536
2022-09-11T20:00:33Z,11s,770.63002,6.88128
2022-09-11T20:00:47Z,14s,690.099264,7.090176
2022-09-11T20:01:04Z,17s,745.800106,7.233536
2022-09-11T20:01:42Z,13s,758.948551,7.0656
2022-09-11T20:01:42Z,13s,758.948551,7.0656
2022-09-11T20:02:01Z,19s,699.483201,7.061504
2022-09-11T20:02:15Z,14s,745.980005,7.131136
