timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T20:22:58Z,20s,89.112046,5.419008
2022-09-11T20:23:16Z,18s,195.276939,6.152192
2022-09-11T20:23:28Z,12s,195.292643,6.2464
2022-09-11T20:23:41Z,13s,195.585827,6.5536
2022-09-11T20:23:53Z,12s,177.390773,6.316032
2022-09-11T20:24:12Z,19s,199.021884,6.32832
2022-09-11T20:24:29Z,17s,190.539211,6.32832
2022-09-11T20:24:48Z,19s,189.440287,6.459392
2022-09-11T20:25:00Z,12s,197.853623,6.459392
2022-09-11T20:25:15Z,15s,185.60369,6.332416
2022-09-11T20:25:27Z,12s,191.981299,6.459392
2022-09-11T20:25:38Z,11s,188.090377,6.463488
2022-09-11T20:25:58Z,20s,190.723736,6.336512
2022-09-11T20:26:15Z,17s,192.853173,6.463488
