timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T20:27:51Z,14s,243.39086,5.292032
2022-09-11T20:28:08Z,17s,589.109832,5.574656
2022-09-11T20:28:24Z,16s,679.949496,6.144
2022-09-11T20:28:50Z,26s,729.78324,6.434816
2022-09-11T20:29:01Z,11s,712.536379,6.455296
2022-09-11T20:29:13Z,12s,761.56449,6.619136
2022-09-11T20:29:25Z,12s,709.470238,6.791168
2022-09-11T20:29:37Z,12s,709.843069,6.713344
2022-09-11T20:29:56Z,19s,706.853977,6.557696
2022-09-11T20:30:13Z,17s,733.654384,6.557696
2022-09-11T20:30:27Z,14s,754.38262,6.750208
2022-09-11T20:30:45Z,18s,689.349002,6.971392
2022-09-11T20:31:00Z,15s,727.396796,7.110656
2022-09-11T20:31:17Z,17s,746.420003,6.955008
2022-09-11T20:31:32Z,15s,702.651019,7.04512
2022-09-11T20:31:47Z,15s,702.564124,6.9632
2022-09-11T20:32:02Z,15s,757.858917,6.844416
2022-09-11T20:32:16Z,14s,705.385337,6.84032
2022-09-11T20:32:31Z,15s,724.740237,6.795264
2022-09-11T20:32:48Z,17s,700.780244,6.705152
2022-09-11T20:33:01Z,13s,740.178596,6.811648
2022-09-11T20:33:21Z,20s,711.932165,6.88128
2022-09-11T20:33:35Z,14s,732.579764,6.885376
2022-09-11T20:33:48Z,13s,701.654814,7.057408
2022-09-11T20:33:58Z,10s,733.746447,7.032832
2022-09-11T20:34:12Z,14s,763.278682,6.946816
2022-09-11T20:34:27Z,15s,691.420127,7.032832
2022-09-11T20:34:45Z,18s,731.08592,6.90176
2022-09-11T20:35:05Z,20s,707.669144,6.8608
2022-09-11T20:35:05Z,20s,707.669144,6.8608
