timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T20:38:50Z,15s,115.302777,5.308416
2022-09-11T20:39:15Z,25s,199.149166,6.299648
2022-09-11T20:39:29Z,14s,181.063567,6.299648
2022-09-11T20:39:47Z,18s,193.674177,6.30784
2022-09-11T20:39:47Z,18s,193.674177,6.30784
2022-09-11T20:40:04Z,17s,195.435847,6.189056
2022-09-11T20:40:32Z,28s,189.765902,6.176768
2022-09-11T20:40:32Z,28s,189.765902,6.176768
2022-09-11T20:40:51Z,19s,192.771979,6.176768
2022-09-11T20:41:10Z,19s,189.805171,6.30784
2022-09-11T20:41:24Z,14s,192.91317,6.180864
2022-09-11T20:41:38Z,14s,199.062645,6.30784
2022-09-11T20:41:54Z,16s,182.205127,6.180864
2022-09-11T20:42:09Z,15s,195.865184,6.180864
